#,Name,Team,IP,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN,Year,YearDate
1,Emmanuel Clase,CLE,69.2,100.7, ,100.2, , , ,91.9, , , , , , ,2021.0,2021-01-01
2,Jordan Hicks,STL,10.0,100.5, ,87.2, , ,99.3,83.4, , , ,90.2, , ,2021.0,2021-01-01
3,Andres Munoz,SEA,0.2,99.6, , , , , ,82.2, , , , , , ,2021.0,2021-01-01
4,Brusdar Graterol,LAD,33.1,99.5, ,95.6, , ,100.0,88.2, , , , , , ,2021.0,2021-01-01
5,Junior Fernandez,STL,20.2,99.3, , , , ,97.7,88.7, , , ,89.5, , ,2021.0,2021-01-01
6,Anthony Gose,CLE,6.2,99.3, , , , , ,84.7, , , , , , ,2021.0,2021-01-01
7,Jacob deGrom,NYM,92.0,99.2, , , , , ,91.6,83.3, , ,91.4, , ,2021.0,2021-01-01
8,Julian Fernandez,COL,6.2,99.0, , , , , , , , , ,89.3, , ,2021.0,2021-01-01
9,Edwin Diaz,NYM,62.2,98.8, , , , , ,90.6, , , , , , ,2021.0,2021-01-01
10,Nicklaus Snyder,TEX,3.2,98.7, , , , , ,85.6, , , , , , ,2021.0,2021-01-01
11,Camilo Doval,SFG,27.0,98.6, , , , , ,86.5, , , , , , ,2021.0,2021-01-01
12,Sam Coonrod,PHI,42.1,98.5, , , , ,97.7,90.1, , , ,90.4, , ,2021.0,2021-01-01
13,Jose Alvarado,PHI,55.2,98.4, ,94.1, , ,99.4, ,87.2, , , , , ,2021.0,2021-01-01
14,Dustin May,LAD,23.0,98.4, ,93.0, , ,97.8, ,86.6, , , , , ,2021.0,2021-01-01
15,Luis Garcia,STL,33.1,98.3, , ,88.7, ,98.3,86.0, , , , , , ,2021.0,2021-01-01
16,Aroldis Chapman,NYY,56.1,98.3, , ,88.4, ,100.7,85.1, , , , , , ,2021.0,2021-01-01
17,Gregory Soto,DET,63.2,98.3, , , , ,98.2,88.3, , , , , , ,2021.0,2021-01-01
18,Dylan Coleman,KCR,6.1,98.2, , , , ,97.6,84.7, , , , , , ,2021.0,2021-01-01
19,Sandy Alcantara,MIA,205.2,98.1, , , , ,97.6,90.4,83.7, , ,91.8, , ,2021.0,2021-01-01
20,Spencer Strider,ATL,2.1,97.9, , , , , ,85.5, , , , , , ,2021.0,2021-01-01
21,Jonathan Loaisiga,NYY,70.2,97.8, ,90.4, , ,98.3,90.1,86.7, , ,90.0, , ,2021.0,2021-01-01
22,Nate Pearson,TOR,15.0,97.8, , , , , ,87.0,74.4, , ,83.3, , ,2021.0,2021-01-01
23,Albert Abreu,NYY,36.2,97.8, , , , ,98.0,87.3,81.0, , ,88.2, , ,2021.0,2021-01-01
24,Domingo Tapia,- - -,33.2,97.7, ,91.3, , ,97.2,87.7, , , ,89.2, , ,2021.0,2021-01-01
25,Blake Treinen,LAD,72.1,97.7, ,93.3, , ,97.4,86.4, , , ,90.0, , ,2021.0,2021-01-01
26,Liam Hendriks,CHW,71.0,97.7, , , , , ,89.0,85.8, , ,91.6, , ,2021.0,2021-01-01
27,Gregory Santos,SFG,2.0,97.7, , , , , ,89.7, , , , , , ,2021.0,2021-01-01
28,Gerrit Cole,NYY,181.1,97.7, , , , ,97.7,88.4, ,83.4, ,89.8, , ,2021.0,2021-01-01
29,Genesis Cabrera,STL,70.0,97.6, , , , ,97.7, ,80.9, , ,89.7, , ,2021.0,2021-01-01
30,Ryne Stanek,HOU,68.1,97.6, , ,88.0, , ,87.1, , , , , , ,2021.0,2021-01-01
31,Jordan Romano,TOR,63.0,97.6, , , , ,97.8,88.4, , , , , , ,2021.0,2021-01-01
32,Joe Kelly,LAD,44.0,97.5, , , , ,97.7, , ,87.1, ,86.9, , ,2021.0,2021-01-01
33,Julian Merryweather,TOR,13.0,97.5, , , , , ,88.4,80.1, , ,81.8, , ,2021.0,2021-01-01
34,Daniel Bard,COL,65.2,97.5, , , , ,97.3,87.1, , , ,89.8, , ,2021.0,2021-01-01
35,Anthony Bender,MIA,61.1,97.5, , , , ,96.8,84.6, , , ,90.1, , ,2021.0,2021-01-01
36,James Norwood,SDP,5.0,97.4, , ,87.2, ,96.9,87.5, , , , , , ,2021.0,2021-01-01
37,Jorge Alcala,MIN,59.2,97.4, , , , ,97.2,89.7, , , ,90.1, , ,2021.0,2021-01-01
38,Ryan Helsley,STL,47.1,97.4, ,88.2, , , , ,79.0, , ,87.4, , ,2021.0,2021-01-01
39,Michael Kopech,CHW,69.1,97.3, , , , , ,84.1,78.7, , ,89.7, , ,2021.0,2021-01-01
40,Jeurys Familia,NYM,59.1,97.2, , ,92.0, ,96.4,89.2, , , , , , ,2021.0,2021-01-01
41,Zack Wheeler,PHI,213.1,97.2, , , , ,96.7,91.5,81.5, , ,90.6, , ,2021.0,2021-01-01
42,Luis Castillo,CIN,187.2,97.1, , , , ,97.3,86.4, , , ,88.3, , ,2021.0,2021-01-01
43,Pete Fairbanks,TBR,42.2,97.1, , , , ,94.1,85.7, , , , , , ,2021.0,2021-01-01
44,Carlos Hernandez,KCR,85.2,97.1, , , , ,97.4,85.3,81.7, , ,86.5, , ,2021.0,2021-01-01
45,Carlos Estevez,COL,61.2,97.1, , , , , ,86.7, , , ,88.7, , ,2021.0,2021-01-01
46,Drew Rasmussen,- - -,76.0,97.1, , , , , ,86.4,80.3, , ,90.2, , ,2021.0,2021-01-01
47,Hunter Harvey,BAL,8.2,97.0, , , , , ,86.5,83.0, , ,90.6, , ,2021.0,2021-01-01
48,Tyler Glasnow,TBR,88.0,97.0, , , , , ,87.5,83.5, , ,91.5, , ,2021.0,2021-01-01
49,Jose Ruiz,CHW,65.0,97.0, , , , , ,90.2,85.5, , ,89.4, , ,2021.0,2021-01-01
50,Manuel Rodriguez,CHC,17.2,97.0, , , , ,97.2,87.5, , , , , , ,2021.0,2021-01-01
51,Shane Baz,TBR,13.1,97.0, , , , , ,86.7,82.5, , ,88.7, , ,2021.0,2021-01-01
52,Daniel Hudson,- - -,51.2,97.0, , , , ,96.7,88.2, , , ,87.8, , ,2021.0,2021-01-01
53,Jake Brentz,KCR,64.0,96.9, , , , ,97.0,85.2, , , ,91.0, , ,2021.0,2021-01-01
54,Yacksel Rios,- - -,27.1,96.9, , ,86.3, ,97.3,86.5, , , , , , ,2021.0,2021-01-01
55,Nathan Eovaldi,BOS,182.1,96.8, ,92.5,87.9, , ,85.8,78.5, , , , , ,2021.0,2021-01-01
56,Stephen Ridings,NYY,5.0,96.8, , , , ,97.2,85.7, , , , , , ,2021.0,2021-01-01
57,Tanner Scott,BAL,54.0,96.8, , , , ,96.1,88.5, , , , , , ,2021.0,2021-01-01
58,Josh Sborz,TEX,59.0,96.7, , , , , ,88.0,83.3, , , , , ,2021.0,2021-01-01
59,Hansel Robles,- - -,69.0,96.7, , , , ,96.7,90.2,73.3, , ,89.3, , ,2021.0,2021-01-01
60,David Bednar,PIT,60.2,96.7, , ,89.6, , , ,77.5, , , , , ,2021.0,2021-01-01
61,Jandel Gustave,MIL,18.1,96.7, , , , ,96.7,85.1, , , , , , ,2021.0,2021-01-01
62,Michael Lorenzen,CIN,29.0,96.7, ,92.0, , ,95.7,85.3,82.4, , ,87.2, , ,2021.0,2021-01-01
63,Dylan Cease,CHW,165.2,96.7, , , , , ,85.9, ,79.9, ,78.1, , ,2021.0,2021-01-01
64,Jose Cisnero,DET,61.2,96.7, , , , ,96.4,88.4, , , ,90.8, , ,2021.0,2021-01-01
65,Edward Cabrera,MIA,26.1,96.7, , , , , ,87.6,83.4, , ,92.1, , ,2021.0,2021-01-01
66,Garrett Crochet,CHW,54.1,96.7, , , , , ,85.2, , , ,91.7, , ,2021.0,2021-01-01
67,Patrick Murphy,- - -,28.0,96.6, , , , ,96.6, ,83.0, , ,90.3, , ,2021.0,2021-01-01
68,Aaron Ashby,MIL,31.2,96.6, , , , ,96.4,83.7,78.8, , ,88.8, , ,2021.0,2021-01-01
69,Alex Reyes,STL,72.1,96.6, , , , ,96.7,86.4,79.4, , ,90.3, , ,2021.0,2021-01-01
70,Oliver Ortega,LAA,9.1,96.6, , , , , , ,82.7, , , , , ,2021.0,2021-01-01
71,Josh Staumont,KCR,65.2,96.5, , , , ,96.7, ,81.3, , , , , ,2021.0,2021-01-01
72,Brandon Woodruff,MIL,179.1,96.5, , , , ,96.2,86.4,83.8, , ,86.5, , ,2021.0,2021-01-01
73,Craig Kimbrel,- - -,59.2,96.5, , , , , , , ,86.1, , , , ,2021.0,2021-01-01
74,Trevor May,NYM,62.2,96.5, , , , , ,84.0, , , ,87.0, , ,2021.0,2021-01-01
75,Luis Frias,ARI,3.1,96.5, , , , , ,84.4, , , ,90.0, , ,2021.0,2021-01-01
76,Huascar Ynoa,ATL,91.0,96.5, , , , ,96.5,85.1, , , ,88.7, , ,2021.0,2021-01-01
77,Robert Stephenson,COL,46.0,96.5, , ,87.2, , ,84.3,81.5, , , , , ,2021.0,2021-01-01
78,Frankie Montas,OAK,187.0,96.4, , ,87.5, ,96.2,88.9, , , , , , ,2021.0,2021-01-01
79,Corbin Burnes,MIL,167.0,96.4, ,95.2, , ,96.9,88.0,81.2, , ,90.7, , ,2021.0,2021-01-01
80,Shane McClanahan,TBR,123.1,96.4, , , , , ,89.2,82.5, , ,89.2, , ,2021.0,2021-01-01
81,Nick Nelson,NYY,14.1,96.4, , , , , ,85.4,79.9, , ,89.2, , ,2021.0,2021-01-01
82,Ryan Hendrix,CIN,31.2,96.4, ,95.3, , , ,85.9,75.7, , ,91.0, , ,2021.0,2021-01-01
83,Alex Lange,DET,35.2,96.4, ,89.2, , , ,84.6, , , ,89.0, , ,2021.0,2021-01-01
84,Jordan Sheffield,COL,29.1,96.4, , , , ,93.9,87.9, , , ,90.1, , ,2021.0,2021-01-01
85,Josh Hader,MIL,58.2,96.4, , , , , ,83.6, , , ,87.7, , ,2021.0,2021-01-01
86,Adrian Morejon,SDP,4.2,96.3, , , , ,96.1,85.5,79.1, , ,84.8, , ,2021.0,2021-01-01
87,Tanner Rainey,WSN,31.2,96.3, , , , , ,87.7, , , , , , ,2021.0,2021-01-01
88,Trevor Megill,CHC,23.2,96.3, , , , ,97.2,86.6, ,83.6, , , , ,2021.0,2021-01-01
89,Kendall Graveman,- - -,56.0,96.3, , , , ,96.6,87.4,81.5, , ,89.6, , ,2021.0,2021-01-01
90,Corey Knebel,LAD,25.2,96.3, , , , , , , ,79.9, , , , ,2021.0,2021-01-01
91,Raisel Iglesias,LAA,70.0,96.3, , , , ,96.7,85.1, , , ,89.4, , ,2021.0,2021-01-01
92,Justin Topa,MIL,3.1,96.3, , , , ,95.7,80.3, , , , , , ,2021.0,2021-01-01
93,Roansy Contreras,PIT,3.0,96.3, , , , , ,84.7,79.9, , ,90.8, , ,2021.0,2021-01-01
94,Garrett Whitlock,BOS,73.1,96.3, , , , ,95.8,83.7, , , ,83.1, , ,2021.0,2021-01-01
95,Jose Marte,LAA,4.0,96.3, ,87.5, , ,96.7,85.6, , , , , , ,2021.0,2021-01-01
96,Robert Stock,- - -,9.0,96.2, ,85.1, , , ,82.4,77.8, , ,82.9, , ,2021.0,2021-01-01
97,Trevor Stephan,CLE,63.1,96.2, , ,86.9, , ,83.8, , , , , , ,2021.0,2021-01-01
98,Dan Altavilla,SDP,1.1,96.1, , , , , ,90.0, , , , , , ,2021.0,2021-01-01
99,Jason Foley,DET,10.1,96.1, , , , ,95.7,85.8, , , ,90.0, , ,2021.0,2021-01-01
100,Luis Gil,NYY,29.1,96.1, , , , , ,85.2, , , ,92.3, , ,2021.0,2021-01-01
101,A.J. Minter,ATL,52.1,96.1, ,89.0, , , , , , , ,87.2, , ,2021.0,2021-01-01
102,Hirokazu Sawamura,BOS,53.0,96.0, , ,91.6, , ,86.3, , , , , , ,2021.0,2021-01-01
