#,Name,Team,IP,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN,MonthSeason,MonthYear
31,Miles Mikolas,STL,34.0,93.3, , , , ,93.2,87.1,76.3, , ,84.9, , ,6,2022-09-01
32,Robbie Ray,SEA,33.1,93.3, , , , ,92.7,87.4, ,79.8, ,87.8, , ,6,2022-09-01
33,Joe Musgrove,SDP,31.2,93.3, ,90.5, , ,92.8,82.4,81.0, , ,87.5, , ,6,2022-09-01
34,Chris Bassitt,NYM,33.1,93.2, ,89.2, , ,92.7,81.2,71.4, , ,84.8, , ,6,2022-09-01
35,Hayden Wesneski,CHC,33.0,93.1, ,88.7, , ,92.0,81.2, , , ,87.0, , ,6,2022-09-01
36,Ranger Suarez,PHI,31.2,93.1, ,89.7, , ,92.3,85.1,75.7, , ,84.0, , ,6,2022-09-01
37,Lance Lynn,CHW,37.1,93.0, ,88.9, , ,91.1,86.0,81.4, , ,85.4, , ,6,2022-09-01
38,Luis Cessa,CIN,37.0,92.9, , , , ,92.9,82.6, , , ,87.2, , ,6,2022-09-01
39,Triston McKenzie,CLE,38.2,92.9, , , , , ,87.0,78.9, , , , , ,6,2022-09-01
40,Aaron Nola,PHI,34.1,92.8, ,86.5, , ,92.4, , ,78.7, ,85.7, , ,6,2022-09-01
41,Martin Perez,TEX,37.1,92.8, ,89.9, , ,92.4,84.3,78.9, , ,84.7, , ,6,2022-09-01
42,Marcus Stroman,CHC,37.0,92.7, ,89.8,86.7, ,91.8,85.3, , , , , , ,6,2022-09-01
43,Cal Quantrill,CLE,37.1,92.7, ,88.9, , ,94.1, ,83.4, , ,85.6, , ,6,2022-09-01
44,Julio Urias,LAD,35.1,92.6, , , , ,92.5, ,80.7, , ,85.9, , ,6,2022-09-01
45,Merrill Kelly,ARI,42.2,92.5, ,90.6, , ,92.8,82.8,82.1, , ,88.8, , ,6,2022-09-01
46,Michael Wacha,BOS,32.1,92.5, ,88.3, , ,92.0, ,74.3, , ,83.1, , ,6,2022-09-01
47,Jon Heasley,KCR,33.1,92.2, , , , ,92.0,83.7,77.0, , ,83.9, , ,6,2022-09-01
48,Bryse Wilson,PIT,33.1,92.1, , , , ,91.1,82.6,77.0, , ,83.3, , ,6,2022-09-01
49,Ross Stripling,TOR,33.1,92.0, , , , ,90.3,87.7, ,76.3, ,82.8, , ,6,2022-09-01
50,Adrian Sampson,CHC,38.2,92.0, ,84.5, , ,91.6,82.6, , , ,84.0, , ,6,2022-09-01
51,Eduardo Rodriguez,DET,41.0,91.7, ,89.0, , ,91.6,82.8, , , ,86.0, , ,6,2022-09-01
52,Glenn Otto,TEX,36.0,91.7, , , , ,92.0,81.3, ,81.3, ,89.4, , ,6,2022-09-01
53,Shane Bieber,CLE,48.0,91.6, ,87.0, , , ,85.4, ,82.1, ,86.0, , ,6,2022-09-01
54,Lucas Giolito,CHW,33.2,91.5, , , , , ,84.1,78.5, , ,79.5, , ,6,2022-09-01
55,Jose Quintana,STL,33.1,91.5, , , , ,91.6, ,78.1, , ,86.2, , ,6,2022-09-01
56,Jeffrey Springs,TBR,34.1,91.3, , , , ,90.8,86.0, , , ,81.0, , ,6,2022-09-01
57,Johnny Cueto,CHW,34.2,91.3, ,87.0, , ,91.4,82.2,69.4, , ,82.7, , ,6,2022-09-01
58,Clayton Kershaw,LAD,41.0,90.8, , , , , ,86.6,73.2, , , , , ,6,2022-09-01
59,Cole Irvin,OAK,33.1,90.6, , , , ,90.4,80.3,77.6, , ,82.9, , ,6,2022-09-01
60,Kyle Freeland,COL,32.2,90.3, , , , ,89.6,85.5,81.7, , ,85.1, , ,6,2022-09-01
