#,Name,Team,IP,Events,EV,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,ERA,xERA,Year,YearDate
1,Mike Freeman,CIN,0.1,0, , , ,0, ,0, ,0.00,0.00,2021.0,2021-01-01
2,Romy Gonzalez,CHW,0.1,0, , , ,0, ,0, ,0.00,0.00,2021.0,2021-01-01
3,Nick Maton,PHI,0.1,0, , , ,0, ,0, ,0.00,0.00,2021.0,2021-01-01
4,Anthony Rizzo,CHC,0.2,1,46.4,46.4,-31.5,0,0.0%,0,0.0%,0.00,3.55,2021.0,2021-01-01
5,Jack Mayfield,SEA,0.1,1,51.9,51.9,-45.3,0,0.0%,0,0.0%,0.00,1.95,2021.0,2021-01-01
6,James Paxton,SEA,1.1,2,66.2,81.8,14.5,0,0.0%,0,0.0%,6.75,1.25,2021.0,2021-01-01
7,Bryan Baker,TOR,1.0,3,70.2,88.6,45.2,0,0.0%,0,0.0%,0.00,4.92,2021.0,2021-01-01
8,Ka'ai Tom,OAK,1.0,4,70.7,85.1,14.3,0,0.0%,0,0.0%,0.00,0.40,2021.0,2021-01-01
9,Blaine Hardy,MIL,1.0,5,71.2,74.3,19.5,0,0.0%,0,0.0%,18.00,4.30,2021.0,2021-01-01
10,Matt Duffy,CHC,0.1,1,71.7,71.7,-16.7,0,0.0%,0,0.0%,0.00,0.29,2021.0,2021-01-01
11,Joe Biagini,CHC,3.0,9,71.8,104.9,32.2,0,0.0%,1,11.1%,0.00,2.60,2021.0,2021-01-01
12,Patrick Weigel,MIL,4.0,7,75.7,104.7,30.3,1,14.3%,2,28.6%,4.50,4.01,2021.0,2021-01-01
13,Stephen Tarpley,NYM,0.0,1,76.4,76.4,15.6,0,0.0%,0,0.0%,18.00,52.82,2021.0,2021-01-01
14,Sergio Alcantara,CHC,0.1,1,77.6,77.6,31.9,0,0.0%,0,0.0%,0.00,0.35,2021.0,2021-01-01
15,Jace Peterson,MIL,2.0,8,79.8,104.2,-1.6,0,0.0%,1,12.5%,9.00,5.99,2021.0,2021-01-01
16,Jake Rogers,DET,1.0,5,80.0,108.1,10.9,1,20.0%,2,40.0%,18.00,15.21,2021.0,2021-01-01
17,Dakota Hudson,STL,8.2,26,80.1,110.0,3.7,0,0.0%,4,15.4%,2.08,2.00,2021.0,2021-01-01
