#,Name,Team,IP,K/9+,BB/9+,K/BB+,HR/9+,K%+,BB%+,AVG+,WHIP+,BABIP+,LOB%+,ERA-,FIP-,xFIP-,LD%+,GB%+,FB%+,MonthSeason,MonthYear
31,Brady Singer,KCR,37.0,95,72,132,90,98,74,105,95,105,116,73,95,89,120,112,75,5,2022-08-01
32,Tyler Anderson,LAD,37.1,64,84,77,44,67,88,92,88,87,103,73,88,119,78,98,114,5,2022-08-01
33,Eric Lauer,MIL,30.0,76,133,58,136,77,134,96,104,85,126,74,130,122,123,78,114,5,2022-08-01
34,Jesus Luzardo,MIA,36.1,92,70,130,22,100,76,78,73,82,85,76,63,88,94,106,96,5,2022-08-01
35,Luis Castillo,SEA,31.2,132,75,176,79,139,79,94,86,108,112,77,73,67,140,99,80,5,2022-08-01
36,Triston McKenzie,CLE,38.2,119,69,173,108,133,77,83,74,87,104,78,83,83,109,74,125,5,2022-08-01
37,Alex Cobb,SFG,29.0,108,98,110,56,110,100,108,105,117,111,78,78,74,96,136,60,5,2022-08-01
38,Charlie Morton,ATL,30.1,144,75,192,135,152,79,82,77,91,117,79,91,69,94,97,107,5,2022-08-01
39,Jeffrey Springs,TBR,27.2,127,75,170,30,133,78,92,87,108,91,79,51,64,105,121,73,5,2022-08-01
40,Carlos Rodon,SFG,28.1,121,60,202,86,128,63,85,77,92,106,80,77,87,102,66,139,5,2022-08-01
41,Jose Urquidy,HOU,31.2,98,65,150,158,105,70,81,73,72,123,81,122,105,90,84,123,5,2022-08-01
42,Kyle Bradish,BAL,28.2,97,114,85,87,97,113,98,100,98,114,81,106,106,95,112,89,5,2022-08-01
43,German Marquez,COL,31.0,84,92,92,105,88,96,100,96,95,107,81,98,95,133,97,85,5,2022-08-01
44,Merrill Kelly,ARI,32.1,100,88,114,76,106,94,95,89,98,106,81,88,88,110,104,89,5,2022-08-01
45,Jordan Lyles,BAL,34.0,82,70,117,98,80,68,126,117,122,114,82,98,117,63,96,124,5,2022-08-01
46,Adam Oller,OAK,29.2,43,130,33,56,45,135,98,102,86,109,82,118,153,76,79,136,5,2022-08-01
47,Gerrit Cole,NYY,39.1,114,60,190,106,124,65,87,77,90,103,83,83,83,65,105,112,5,2022-08-01
48,Dylan Cease,CHW,30.1,102,117,87,138,113,129,64,74,55,111,84,111,115,62,67,157,5,2022-08-01
49,Johnny Cueto,CHW,35.2,51,41,123,47,53,43,112,94,103,97,84,85,116,111,97,98,5,2022-08-01
50,Zach Davies,ARI,28.1,66,120,55,144,67,123,90,97,74,119,85,138,120,70,111,103,5,2022-08-01
51,Alek Manoah,TOR,29.2,119,130,92,56,117,128,84,94,93,102,86,86,100,151,83,93,5,2022-08-01
52,Jose Quintana,STL,29.1,71,116,61,28,70,115,120,120,118,95,87,88,102,123,119,65,5,2022-08-01
53,Anibal Sanchez,WSN,30.2,65,139,46,186,65,140,90,99,69,120,93,162,136,99,87,116,5,2022-08-01
54,Daniel Lynch,KCR,32.0,80,92,87,104,77,88,116,115,109,106,98,110,114,106,97,101,5,2022-08-01
55,Marcus Stroman,CHC,34.0,71,92,77,96,71,93,101,99,92,90,99,110,98,74,143,63,5,2022-08-01
56,Nick Pivetta,BOS,28.2,108,103,105,117,107,102,102,103,103,106,100,103,101,49,115,109,5,2022-08-01
57,Mike Clevinger,SDP,32.0,65,98,67,128,65,97,94,95,80,111,102,130,141,106,60,144,5,2022-08-01
58,Nick Lodolo,CIN,28.2,102,129,79,85,101,129,96,101,100,103,102,107,117,99,92,110,5,2022-08-01
59,Aaron Nola,PHI,32.0,124,36,348,51,125,36,103,88,117,90,103,53,63,141,97,81,5,2022-08-01
60,Yu Darvish,SDP,33.1,103,43,242,147,109,45,97,82,92,105,105,101,78,106,103,93,5,2022-08-01
