#,Name,Team,IP,K/9+,BB/9+,K/BB+,HR/9+,K%+,BB%+,AVG+,WHIP+,BABIP+,LOB%+,ERA-,FIP-,xFIP-,LD%+,GB%+,FB%+,MonthSeason,MonthYear
31,Zac Gallen,ARI,29.2,98,77,128,83,109,85,76,71,75,100,74,91,89,98,106,94,4,2022-07-01
32,Braxton Garrett,MIA,30.0,115,57,202,82,128,63,71,63,74,103,76,80,78,90,106,99,4,2022-07-01
33,Jon Gray,TEX,30.1,130,78,167,138,133,80,89,87,93,106,76,90,73,102,102,97,4,2022-07-01
34,Taijuan Walker,NYM,30.2,95,65,147,106,101,69,92,82,89,118,78,102,94,94,103,100,4,2022-07-01
35,Jose Berrios,TOR,36.0,125,58,217,116,127,59,104,93,111,118,78,80,76,93,101,102,4,2022-07-01
36,Shane McClanahan,TBR,30.2,122,68,181,82,138,77,71,65,77,101,80,76,67,94,118,83,4,2022-07-01
37,German Marquez,COL,31.2,82,72,115,103,86,75,96,89,89,100,80,93,86,129,113,69,4,2022-07-01
38,Charlie Morton,ATL,30.0,122,114,107,109,131,123,76,81,79,106,80,100,91,73,98,117,4,2022-07-01
39,Shohei Ohtani,LAA,25.1,186,70,265,99,194,73,87,82,121,101,81,46,41,107,86,112,4,2022-07-01
40,Kris Bubic,KCR,35.2,84,133,63,117,83,132,94,103,86,110,82,123,116,87,110,96,4,2022-07-01
41,Yu Darvish,SDP,34.0,138,50,275,120,146,53,83,74,91,112,82,76,70,107,74,127,4,2022-07-01
42,Framber Valdez,HOU,33.2,117,105,111,25,119,107,91,92,105,99,83,69,72,100,156,37,4,2022-07-01
43,Chris Bassitt,NYM,25.1,91,67,134,64,94,70,92,83,92,106,85,86,89,102,117,79,4,2022-07-01
44,Austin Gomber,COL,27.1,72,52,139,119,74,53,112,97,102,104,85,101,103,103,98,101,4,2022-07-01
45,Logan Gilbert,SEA,28.1,98,63,157,89,98,62,106,99,107,107,86,85,89,131,89,96,4,2022-07-01
46,Martin Perez,TEX,31.2,101,112,90,132,103,114,85,91,80,114,88,113,95,75,126,84,4,2022-07-01
47,Aaron Nola,PHI,35.0,104,33,321,70,113,35,96,78,101,94,88,64,82,67,97,122,4,2022-07-01
48,Alek Manoah,TOR,31.1,99,66,150,133,100,67,95,87,90,111,89,109,104,90,94,111,4,2022-07-01
49,Jose Quintana,PIT,27.0,85,63,134,0,88,65,107,96,113,94,91,57,88,97,121,77,4,2022-07-01
50,Miles Mikolas,STL,37.2,61,53,115,130,66,57,97,83,82,101,92,117,102,97,107,93,4,2022-07-01
51,Jordan Lyles,BAL,32.2,88,109,81,128,86,106,108,110,102,116,92,120,123,101,76,127,4,2022-07-01
52,Brad Keller,KCR,28.2,82,145,57,29,81,143,91,103,92,95,94,95,111,84,135,69,4,2022-07-01
53,Aaron Ashby,MIL,25.2,126,111,114,127,119,105,107,113,114,94,95,100,86,114,95,98,4,2022-07-01
54,Carlos Rodon,SFG,37.0,149,85,177,66,157,89,82,80,102,91,98,60,71,84,80,132,4,2022-07-01
55,Adam Wainwright,STL,32.1,74,70,105,151,78,74,93,85,79,111,100,129,102,103,107,90,4,2022-07-01
56,Gerrit Cole,NYY,38.0,143,70,205,132,153,75,95,86,108,97,104,80,62,101,100,100,4,2022-07-01
57,Madison Bumgarner,ARI,31.0,71,92,77,79,70,91,109,103,102,95,106,112,124,122,78,114,4,2022-07-01
58,Jose Urena,COL,27.0,62,137,45,60,58,129,118,127,109,84,108,103,116,123,116,68,4,2022-07-01
59,Adrian Sampson,CHC,32.2,70,70,101,75,69,69,111,103,103,94,110,96,112,100,95,106,4,2022-07-01
60,Tony Gonsolin,LAD,30.2,92,46,198,133,99,50,94,79,87,94,111,101,93,68,102,115,4,2022-07-01
