#,Name,Team,IP,K/9+,BB/9+,K/BB+,HR/9+,K%+,BB%+,AVG+,WHIP+,BABIP+,LOB%+,ERA-,FIP-,xFIP-,LD%+,GB%+,FB%+,MonthSeason,MonthYear
1,Dylan Cease,CHW,27.1,176,152,116,31,179,154,80,96,118,100,8,44,53,141,109,68,3,2022-06-01
2,Tony Gonsolin,LAD,29.0,90,69,131,84,102,78,59,57,53,138,31,92,104,87,78,133,3,2022-06-01
3,Carlos Rodon,SFG,36.0,119,63,188,23,130,69,76,69,89,118,32,50,74,102,92,109,3,2022-06-01
4,Dean Kremer,BAL,28.0,73,74,98,30,77,79,102,91,101,122,33,79,119,90,84,123,3,2022-06-01
5,Shane McClanahan,TBR,33.0,136,36,379,101,155,41,67,56,73,110,37,66,58,68,105,111,3,2022-06-01
6,Shohei Ohtani,LAA,29.2,137,70,196,85,147,75,84,78,97,133,38,63,63,100,106,93,3,2022-06-01
7,Ross Stripling,TOR,28.1,72,42,172,30,81,47,83,68,82,115,41,65,91,111,107,87,3,2022-06-01
8,Sandy Alcantara,MIA,47.2,74,48,156,34,83,53,81,69,80,106,48,70,82,68,142,68,3,2022-06-01
9,Max Fried,ATL,33.1,109,43,257,24,122,47,92,75,104,109,52,48,65,93,121,80,3,2022-06-01
10,Logan Webb,SFG,30.1,107,75,142,27,114,80,90,82,100,105,53,63,74,113,120,69,3,2022-06-01
11,Justin Verlander,HOU,39.2,94,52,181,63,101,56,74,66,74,85,53,76,92,108,95,101,3,2022-06-01
12,Zach Plesac,CLE,30.0,86,69,124,84,90,73,87,80,83,118,54,94,106,99,92,109,3,2022-06-01
13,Nick Pivetta,BOS,40.0,107,96,111,84,112,101,83,84,85,121,55,90,103,100,80,122,3,2022-06-01
14,Julio Urias,LAD,28.2,124,79,156,85,135,87,68,68,73,113,56,74,81,86,83,127,3,2022-06-01
15,Robbie Ray,SEA,37.0,107,104,103,90,113,110,80,82,81,120,59,99,105,48,105,121,3,2022-06-01
16,Zack Wheeler,PHI,29.2,126,58,220,83,134,61,90,79,100,110,59,70,64,101,118,78,3,2022-06-01
17,Miles Mikolas,STL,34.0,95,59,162,72,107,66,70,62,69,106,61,83,89,90,99,106,3,2022-06-01
18,Jon Gray,TEX,37.2,125,94,132,44,134,101,81,81,95,111,61,64,78,135,94,88,3,2022-06-01
19,Aaron Nola,PHI,43.0,104,26,394,57,116,29,89,69,94,107,61,59,77,96,91,113,3,2022-06-01
20,Zach Davies,ARI,31.2,82,63,131,52,88,68,81,74,80,103,62,80,105,65,98,122,3,2022-06-01
21,Tyler Wells,BAL,26.0,62,102,60,129,66,110,73,77,57,128,63,132,134,67,87,132,3,2022-06-01
22,Yu Darvish,SDP,35.2,91,40,227,46,99,43,81,66,83,108,65,76,98,88,96,111,3,2022-06-01
23,Alek Manoah,TOR,38.2,91,77,119,43,96,80,88,83,90,105,66,74,101,105,91,107,3,2022-06-01
24,Tyler Mahle,CIN,33.2,121,51,238,97,127,53,99,86,106,115,68,69,83,83,77,137,3,2022-06-01
25,Corey Kluber,TBR,28.1,91,31,289,118,96,33,89,73,83,109,69,97,100,104,74,127,3,2022-06-01
26,Taijuan Walker,NYM,37.2,91,68,134,22,98,73,95,85,100,105,70,63,82,108,115,78,3,2022-06-01
27,Kyle Freeland,COL,33.0,51,60,84,99,52,63,97,85,82,113,71,112,129,116,80,115,3,2022-06-01
28,Gerrit Cole,NYY,29.2,141,80,176,169,153,87,78,75,79,133,71,98,73,22,115,124,3,2022-06-01
29,Chad Kuhl,COL,29.1,68,107,63,56,68,107,106,107,101,104,73,91,121,111,86,111,3,2022-06-01
30,Framber Valdez,HOU,32.0,100,102,99,78,105,106,87,87,88,105,73,94,82,53,165,52,3,2022-06-01
