#,Name,Team,IP,K/9+,BB/9+,K/BB+,HR/9+,K%+,BB%+,AVG+,WHIP+,BABIP+,LOB%+,ERA-,FIP-,xFIP-,LD%+,GB%+,FB%+,MonthSeason,MonthYear
1,Pablo Lopez,MIA,23.1,103,49,211,0,120,57,66,57,77,130,10,43,69,129,103,80,1,4
2,Logan Gilbert,SEA,22.1,105,53,199,37,116,59,78,68,86,133,11,62,83,122,90,100,1,4
3,Kyle Wright,ATL,24.0,148,71,208,0,163,79,70,65,98,120,27,37,57,93,120,80,1,4
4,Madison Bumgarner,ARI,23.0,68,136,50,71,71,141,75,88,67,119,29,112,129,75,91,125,1,4
5,Carlos Rodon,SFG,23.0,172,99,174,0,191,110,58,65,92,118,30,27,61,61,79,147,1,4
6,Joe Ryan,MIN,23.0,116,77,151,73,136,90,55,56,57,135,31,76,91,41,87,145,1,4
7,Merrill Kelly,ARI,28.1,96,70,136,0,101,74,86,80,94,120,31,55,89,99,107,93,1,4
8,Alek Manoah,TOR,25.0,107,83,129,67,116,90,71,70,73,129,37,77,101,79,81,132,1,4
9,Miles Mikolas,STL,29.2,88,38,229,55,95,42,79,66,78,126,39,75,92,76,106,106,1,4
10,Chad Kuhl,COL,23.2,75,84,89,69,85,96,66,66,61,121,41,87,99,101,104,94,1,4
11,Corbin Burnes,MIL,25.2,134,66,202,95,154,76,62,58,67,132,43,75,64,110,102,91,1,4
12,Justin Verlander,HOU,26.0,115,46,253,96,134,53,66,55,66,130,45,77,79,84,87,123,1,4
13,Sandy Alcantara,MIA,25.1,82,112,73,32,89,122,94,93,97,117,45,86,105,75,115,96,1,4
14,Max Scherzer,NYM,25.0,138,91,151,33,155,103,54,59,67,112,48,54,76,78,81,134,1,4
15,Eric Lauer,MIL,23.1,152,61,249,105,162,65,85,77,101,125,48,63,61,115,66,132,1,4
16,Tylor Megill,NYM,28.0,101,61,165,58,112,68,74,67,76,118,51,71,78,110,102,91,1,4
17,Brad Keller,KCR,24.2,74,60,123,68,85,69,69,61,63,102,55,87,90,74,132,78,1,4
18,Joe Musgrove,SDP,25.0,104,23,458,65,116,25,89,69,93,94,56,61,64,128,101,83,1,4
19,Kevin Gausman,TOR,24.2,134,0, ,0,147,0,110,81,136,99,57,14,46,145,90,88,1,4
20,Clayton Kershaw,LAD,23.0,136,25,550,71,156,28,71,54,82,107,59,51,55,67,111,105,1,4
21,Chris Bassitt,NYM,24.0,113,83,136,68,124,91,74,72,80,118,59,81,88,70,105,111,1,4
22,Nathan Eovaldi,BOS,28.2,119,31,385,204,126,33,91,75,84,137,61,114,70,91,106,98,1,4
23,Shane Bieber,CLE,29.1,106,61,175,85,115,66,85,76,87,110,63,78,84,105,92,106,1,4
24,Walker Buehler,LAD,24.2,89,69,128,66,94,73,90,82,89,114,65,83,100,85,95,114,1,4
25,Zack Greinke,KCR,22.0,29,40,72,38,31,43,107,87,93,106,71,99,129,128,91,95,1,4
26,Kyle Gibson,PHI,27.2,98,123,79,89,103,129,75,85,72,107,72,97,88,75,139,68,1,4
27,Max Fried,ATL,24.0,91,12,770,34,99,13,96,72,99,92,73,59,72,94,127,72,1,4
28,Dylan Bundy,MIN,21.1,95,42,229,78,102,45,88,75,87,104,77,76,83,82,114,94,1,4
29,Martin Perez,TEX,21.0,81,70,116,0,87,75,88,80,93,89,77,64,96,84,130,75,1,4
30,Gerrit Cole,NYY,24.0,120,123,98,104,122,125,85,93,89,116,78,97,89,131,95,89,1,4
