#,Name,Team,IP,K/9+,BB/9+,K/BB+,HR/9+,K%+,BB%+,AVG+,WHIP+,BABIP+,LOB%+,ERA-,FIP-,xFIP-,LD%+,GB%+,FB%+,MonthSeason,MonthYear
1,Martin Perez,TEX,42.1,83,63,132,0,93,71,81,72,86,116,16,54,88,57,133,85,2,2022-05-01
2,Shane McClanahan,TBR,31.1,133,47,282,80,151,54,79,66,91,137,31,61,49,126,118,66,2,2022-05-01
3,Tarik Skubal,DET,31.0,121,57,211,54,137,65,81,70,92,125,38,58,67,96,108,93,2,2022-05-01
4,Zack Wheeler,PHI,32.2,128,44,293,25,139,47,96,79,116,110,40,41,63,98,105,95,2,2022-05-01
5,Joe Musgrove,SDP,33.0,104,78,134,49,109,81,88,83,93,121,42,73,92,88,100,107,2,2022-05-01
6,Adam Wainwright,STL,32.0,72,71,101,77,79,78,72,68,65,122,43,95,105,75,104,109,2,2022-05-01
7,Jose Quintana,PIT,27.0,81,95,86,0,83,97,85,87,89,98,49,67,103,92,114,88,2,2022-05-01
8,Nestor Cortes,NYY,32.1,109,82,132,78,120,90,66,67,67,121,51,80,90,106,87,111,2,2022-05-01
9,Corbin Burnes,MIL,39.0,120,36,330,105,133,40,84,68,88,124,51,76,71,76,103,109,2,2022-05-01
10,Nick Pivetta,BOS,38.1,98,46,211,44,108,51,78,67,82,109,52,63,88,97,93,109,2,2022-05-01
11,Jameson Taillon,NYY,31.1,75,28,265,27,81,31,85,69,84,108,52,62,92,91,111,93,2,2022-05-01
12,Alek Manoah,TOR,31.0,93,19,488,81,100,20,97,75,96,109,53,77,83,138,91,90,2,2022-05-01
13,Sandy Alcantara,MIA,42.1,106,81,131,58,117,89,73,70,78,103,54,81,85,72,122,90,2,2022-05-01
14,Triston McKenzie,CLE,34.0,88,61,144,123,102,70,65,59,55,130,54,104,107,103,62,141,2,2022-05-01
15,Justin Verlander,HOU,31.2,91,56,163,132,100,61,87,76,80,131,59,105,96,93,92,112,2,2022-05-01
16,Framber Valdez,HOU,43.0,82,69,119,39,88,74,87,80,88,110,60,75,75,116,147,39,2,2022-05-01
17,Yusei Kikuchi,TOR,26.2,124,122,102,31,129,127,74,84,87,109,61,65,91,78,105,106,2,2022-05-01
18,Frankie Montas,OAK,35.0,122,59,206,72,131,64,90,80,100,116,63,66,66,92,118,84,2,2022-05-01
19,JT Brubaker,PIT,27.1,111,114,97,60,108,112,93,100,99,100,65,81,93,83,115,91,2,2022-05-01
20,Kevin Gausman,TOR,36.1,115,49,235,46,118,50,100,88,109,103,71,53,74,83,116,91,2,2022-05-01
21,Pablo Lopez,MIA,35.2,111,88,127,114,116,92,93,90,94,118,71,95,83,88,108,97,2,2022-05-01
22,Paul Blackburn,OAK,34.1,72,86,83,73,74,89,89,86,83,115,71,106,108,114,111,80,2,2022-05-01
23,Zac Gallen,ARI,35.1,103,64,160,69,107,67,88,80,91,108,75,84,87,82,119,88,2,2022-05-01
24,Tyler Wells,BAL,30.2,63,29,217,55,68,31,94,75,87,99,76,79,114,94,78,128,2,2022-05-01
25,Max Fried,ATL,37.0,101,77,132,88,103,78,100,95,101,112,77,86,77,135,110,69,2,2022-05-01
26,Julio Urias,LAD,35.0,80,33,247,163,85,34,113,92,101,115,78,112,99,90,83,125,2,2022-05-01
27,Tyler Anderson,LAD,32.0,107,18,605,128,114,19,102,81,101,117,78,82,86,108,63,140,2,2022-05-01
28,Aaron Nola,PHI,33.0,126,43,293,99,135,46,87,73,94,101,80,72,70,101,96,104,2,2022-05-01
29,Gerrit Cole,NYY,33.2,143,44,325,74,151,46,88,76,103,99,83,51,56,96,104,97,2,2022-05-01
30,Michael Lorenzen,LAA,32.2,62,82,76,51,67,88,96,88,90,100,84,90,106,77,131,77,2,2022-05-01
