#,Name,Team,IP,K/9+,BB/9+,K/BB+,HR/9+,K%+,BB%+,AVG+,WHIP+,BABIP+,LOB%+,ERA-,FIP-,xFIP-,LD%+,GB%+,FB%+,MonthSeason,MonthYear
1,Jose Quintana,STL,33.1,88,34,257,0,102,40,75,59,82,122,21,49,81,97,106,95,6,9
2,Alek Manoah,TOR,41.0,86,87,99,41,96,96,68,68,68,132,23,76,112,70,87,131,6,9
3,Shohei Ohtani,LAA,38.0,121,86,141,0,136,97,68,67,84,116,30,43,71,100,118,80,6,9
4,Julio Urias,LAD,35.1,86,80,106,139,92,86,80,77,69,138,39,113,105,65,97,123,6,9
5,Clayton Kershaw,LAD,41.0,125,55,225,60,138,61,75,67,85,126,39,57,62,117,101,90,6,9
6,Adrian Sampson,CHC,38.2,62,74,84,63,69,82,91,81,83,124,41,96,113,92,97,108,6,9
7,Jeffrey Springs,TBR,34.1,106,69,154,49,109,71,79,77,84,114,43,70,96,104,83,117,6,9
8,Yu Darvish,SDP,39.0,118,58,202,105,131,65,69,62,69,133,48,83,92,79,61,158,6,9
9,Dylan Cease,CHW,37.0,107,128,84,45,113,135,73,84,80,118,50,78,107,87,86,122,6,9
10,Mitch Keller,PIT,35.0,92,114,81,47,95,117,89,92,93,122,51,92,100,134,109,71,6,9
11,Blake Snell,SDP,35.0,140,81,172,47,155,90,70,69,87,113,53,52,70,97,81,125,6,9
12,Triston McKenzie,CLE,38.2,113,38,296,65,123,42,84,70,90,110,54,60,80,84,88,122,6,9
13,Logan Gilbert,SEA,36.0,122,66,185,46,131,71,80,73,91,115,54,62,75,108,101,95,6,9
14,Hayden Wesneski,CHC,33.0,104,60,173,74,111,64,81,73,84,116,54,82,91,57,109,113,6,9
15,Marcus Stroman,CHC,37.0,96,54,178,88,102,57,88,76,87,124,55,89,84,78,124,83,6,9
16,Nick Lodolo,CIN,36.1,141,78,180,112,154,86,73,69,82,125,57,84,68,52,133,87,6,9
17,Aaron Nola,PHI,34.1,137,58,236,48,148,63,79,71,95,109,58,49,56,129,102,81,6,9
18,Brandon Woodruff,MIL,44.2,135,64,213,91,147,69,79,72,90,119,60,70,68,82,98,112,6,9
19,Miles Mikolas,STL,34.0,89,75,118,96,97,82,84,78,80,117,61,96,93,90,103,102,6,9
20,Lance Lynn,CHW,37.1,94,48,199,67,94,47,104,92,105,98,62,76,98,96,100,102,6,9
21,Shane Bieber,CLE,48.0,100,25,406,122,111,27,91,72,88,120,63,86,71,87,119,85,6,9
22,Zac Gallen,ARI,38.1,128,59,215,85,144,67,70,63,77,109,63,68,69,107,84,115,6,9
23,Brayan Bello,BOS,31.1,106,113,93,27,100,107,118,122,127,103,63,68,89,110,122,71,6,9
24,Kyle Freeland,COL,32.2,96,78,122,50,94,77,120,112,125,107,65,71,98,94,99,104,6,9
25,Joe Musgrove,SDP,31.2,115,99,117,155,114,98,101,101,100,132,66,115,98,91,87,120,6,9
26,Lance McCullers Jr.,HOU,31.2,125,112,111,79,130,117,87,91,96,116,66,80,78,96,117,84,6,9
27,Brady Singer,KCR,31.2,88,47,188,79,92,49,106,88,105,110,71,89,84,95,132,67,6,9
28,Cal Quantrill,CLE,37.1,86,48,181,90,85,47,120,105,117,112,74,90,101,83,104,105,6,9
29,Martin Perez,TEX,37.1,72,119,60,0,72,120,108,109,109,106,74,76,107,122,118,68,6,9
30,Sandy Alcantara,MIA,43.0,97,26,367,114,106,29,98,76,96,110,75,91,76,93,114,87,6,9
