#,Name,Team,IP,FA-Z,FC-Z,FS-Z,SI-Z,CH-Z,SL-Z,CU-Z,CS-Z,KN-Z,SB-Z,MonthSeason,MonthYear
31,Yu Darvish,SDP,33.1,8.9,4.9,1.8,5.7,3.3,-0.7,-7.9, , , ,5,8
32,Spenser Watkins,BAL,30.2,8.9,4.0, , ,4.6,-3.2,-8.1, , , ,5,8
33,Patrick Sandoval,LAA,32.1,8.8, , ,6.5,3.9,-0.3,-8.3, , , ,5,8
34,Adam Oller,OAK,29.2,8.8,5.4, ,7.2,4.3,-2.8, , , , ,5,8
35,Jordan Lyles,BAL,34.0,8.8, , ,6.4,3.4,-1.1,-9.7, , , ,5,8
36,Kris Bubic,KCR,31.0,8.8, , , ,4.0, ,-8.8, , , ,5,8
37,Drew Rasmussen,TBR,34.1,8.7,0.2, ,8.4, ,-3.2,-11.1, , , ,5,8
38,Jeffrey Springs,TBR,27.2,8.6, , , ,3.2,1.8, , , , ,5,8
39,Dean Kremer,BAL,32.0,8.6,3.6, ,5.9,-0.4, ,-10.2, , , ,5,8
40,Matt Manning,DET,32.1,8.6, , ,7.1,3.0,5.3,-6.4, , , ,5,8
41,Alek Manoah,TOR,29.2,8.5, , ,5.0,5.1,-1.1, , , , ,5,8
42,Adam Wainwright,STL,39.2,8.5,2.2, ,6.4,5.5, ,-9.8, , , ,5,8
43,Max Scherzer,NYM,40.2,8.4,3.8, , ,1.1,0.5,-7.1, , , ,5,8
44,Cole Irvin,OAK,38.1,8.4, , ,6.4,2.7,-2.9,-5.0, , , ,5,8
45,Domingo German,NYY,34.2,8.3, , ,4.1,3.9, ,-2.9, , , ,5,8
46,James Kaprielian,OAK,29.0,8.3, , ,5.6,0.9,1.1,-6.2, , , ,5,8
47,Marco Gonzales,SEA,33.2,8.2,4.6, ,5.5,2.9, ,-9.1, , , ,5,8
48,Edward Cabrera,MIA,28.1,8.2, , ,5.8,3.6,0.4,-4.8, , , ,5,8
49,Aaron Nola,PHI,32.0,8.1,3.4, ,4.9,1.1, ,-7.5, , , ,5,8
50,Freddy Peralta,MIL,29.2,8.1, , , ,1.0,0.3,-3.3, , , ,5,8
51,Jose Quintana,STL,29.1,8.0, , ,6.8,2.7, ,-5.0, , , ,5,8
52,Kyle Gibson,PHI,31.1,8.0,5.1, ,3.4,1.1,-1.9,-6.6, , , ,5,8
53,Merrill Kelly,ARI,32.1,7.9,6.6, ,3.3,0.4, ,-7.5, , , ,5,8
54,Noah Syndergaard,PHI,30.2,7.9, , ,5.1,4.3,0.3,-1.2, , , ,5,8
55,Daniel Lynch,KCR,32.0,7.9, , ,5.0,4.5,1.1,-4.3, , , ,5,8
56,Tommy Henry,ARI,31.2,7.8, , , ,1.6,2.4,-5.8, , , ,5,8
57,Jordan Montgomery,STL,30.2,7.8, , ,4.7,4.7, ,-4.2, , , ,5,8
58,Miles Mikolas,STL,36.0,7.8, , ,6.1,4.5,2.1,-9.4,-4.2, , ,5,8
59,Johnny Cueto,CHW,35.2,7.7,5.2, ,4.4,1.4,3.6,-1.0, , , ,5,8
60,Joe Ryan,MIN,32.2,7.6, , , ,3.9,1.6,-6.3, , , ,5,8
