#,Name,Team,IP,FA-Z,FC-Z,FS-Z,SI-Z,CH-Z,SL-Z,CU-Z,CS-Z,KN-Z,SB-Z,MonthSeason,MonthYear
31,Yu Darvish,SDP,35.2,9.0,5.5,0.9,5.3,2.7,-1.0,-8.8,-8.8, , ,3,2022-06-01
32,Eric Lauer,MIL,27.2,8.9,6.0, , ,4.8,2.6,-5.8, , , ,3,2022-06-01
33,Dean Kremer,BAL,28.0,8.9,3.2, , ,-0.3, ,-8.1, , , ,3,2022-06-01
34,Paul Blackburn,OAK,26.1,8.9,2.1, ,5.1,3.7,-5.5,-10.8, , , ,3,2022-06-01
35,Jordan Lyles,BAL,28.2,8.8, , ,6.4,3.4,-2.3,-9.0, , , ,3,2022-06-01
36,Julio Urias,LAD,28.2,8.7, , , ,3.4, ,-1.4, , , ,3,2022-06-01
37,Ian Anderson,ATL,28.2,8.6, , , ,4.7, ,-2.2, , , ,3,2022-06-01
38,Alek Manoah,TOR,38.2,8.6, , ,4.9,3.8,-1.0, , , , ,3,2022-06-01
39,Frankie Montas,OAK,31.0,8.6, ,0.9,5.1, ,2.0, , , , ,3,2022-06-01
40,Zack Wheeler,PHI,29.2,8.6, ,4.4,6.2,5.6,2.9,-7.3, , , ,3,2022-06-01
41,Cole Irvin,OAK,35.1,8.6,4.2, ,6.2,3.4,-2.8,-4.8, , , ,3,2022-06-01
42,Corbin Burnes,MIL,28.2,8.5,6.0, ,6.4,3.4,-1.9,-4.4, , , ,3,2022-06-01
43,Adrian Houser,MIL,30.0,8.5, ,3.5,4.6, ,-0.1,-8.0, , , ,3,2022-06-01
44,Jordan Montgomery,NYY,32.0,8.5,4.3, ,5.0,6.4, ,-3.6, , , ,3,2022-06-01
45,Tarik Skubal,DET,32.1,8.4, , ,5.5,2.8,5.1,-5.0, , , ,3,2022-06-01
46,Marco Gonzales,SEA,31.0,8.4,6.0, ,5.6,2.4, ,-8.1, , , ,3,2022-06-01
47,Kyle Hendricks,CHC,27.2,8.3, , ,4.3,5.7, ,-8.9, , , ,3,2022-06-01
48,JT Brubaker,PIT,34.1,8.3, , ,4.9,2.7,0.9,-5.6, , , ,3,2022-06-01
49,Corey Kluber,TBR,28.1,8.3,4.2, ,4.0,2.8,-0.4, , , , ,3,2022-06-01
50,Hunter Greene,CIN,29.2,8.2, , , ,6.5,1.3, , , , ,3,2022-06-01
51,Cal Quantrill,CLE,31.0,8.2,3.8, ,6.9,3.0, ,-2.0, , , ,3,2022-06-01
52,Johnny Cueto,CHW,35.1,8.2,5.8, ,5.0,1.5,3.5,0.4, , , ,3,2022-06-01
53,Jose Quintana,PIT,30.0,8.2,5.5, ,6.9,2.9, ,-4.1, , , ,3,2022-06-01
54,Merrill Kelly,ARI,30.0,8.1,7.0, ,3.7,0.6, ,-6.4, , , ,3,2022-06-01
55,Aaron Nola,PHI,43.0,8.1,3.4, ,4.9,1.2, ,-7.1, , , ,3,2022-06-01
56,Martin Perez,TEX,30.0,8.0,6.1, ,5.1,4.0, ,-3.0, , , ,3,2022-06-01
57,Madison Bumgarner,ARI,31.0,8.0,4.1, , ,3.6, ,-1.4, , , ,3,2022-06-01
58,Patrick Corbin,WSN,27.1,7.8, , ,6.1,4.5,-0.1, , , , ,3,2022-06-01
59,Miles Mikolas,STL,34.0,7.7, , ,6.3,4.3,1.6,-10.0,-8.0, , ,3,2022-06-01
60,Carlos Carrasco,NYM,29.2,7.6, , ,4.0,-0.2,0.8,-3.8, , , ,3,2022-06-01
