#,Name,Team,IP,FA-Z,FC-Z,FS-Z,SI-Z,CH-Z,SL-Z,CU-Z,CS-Z,KN-Z,SB-Z,MonthSeason,MonthYear
31,Adam Wainwright,STL,27.0,8.2,3.8, ,6.2,3.4, ,-10.2, , , ,1,4
32,Kyle Hendricks,CHC,24.2,8.2, , ,4.1,4.4, ,-10.4, , , ,1,4
33,Aaron Nola,PHI,27.2,8.2,4.0, ,4.7,0.9, ,-6.8, , , ,1,4
34,Chris Bassitt,NYM,24.0,8.2,4.8, ,5.6,3.7,-0.7,-9.5, , , ,1,4
35,Miles Mikolas,STL,29.2,8.2, , ,6.7,4.0,2.1,-10.3,-9.8, , ,1,4
36,Joan Adon,WSN,23.1,8.2, , ,6.8,3.3, ,-6.6, , , ,1,4
37,Martin Perez,TEX,21.0,8.0,6.0, ,5.4,4.2, ,-3.5, , , ,1,4
38,Zack Greinke,KCR,22.0,7.8, , ,5.0,0.7,2.7,-9.0, , , ,1,4
39,Madison Bumgarner,ARI,23.0,7.8,4.3, ,6.5,2.4, ,-1.8,-1.3, , ,1,4
40,Sandy Alcantara,MIA,25.1,7.7, , ,3.6,1.7,1.9, , , , ,1,4
41,Joe Ryan,MIN,23.0,7.7, , , ,4.8,-0.1,-7.5, , , ,1,4
42,Jose Berrios,TOR,24.0,7.7, , ,5.4,1.6,-3.0, , , , ,1,4
43,Carlos Carrasco,NYM,22.0,7.6, , ,3.8,-0.9,0.9,-3.7, , , ,1,4
44,German Marquez,COL,21.0,7.6, , ,5.5,4.9,1.6,-0.9, , , ,1,4
45,Nathan Eovaldi,BOS,28.2,7.4,4.7,-0.7, , ,-0.1,-5.9, , , ,1,4
46,Joe Musgrove,SDP,25.0,7.1,4.5, ,4.4,1.8,-1.4,-9.1, , , ,1,4
47,Chad Kuhl,COL,23.2,6.9, , ,5.2,1.8,0.5,-7.1, , , ,1,4
48,Kyle Wright,ATL,24.0,6.8, , ,2.6,-0.6,3.3,-5.6, , , ,1,4
49,Brad Keller,KCR,24.2,6.8, , ,3.4,3.8,-1.9, , , , ,1,4
50,Max Fried,ATL,24.0,6.8, , ,5.0,1.3,-0.4,-10.1, , , ,1,4
51,Pablo Lopez,MIA,23.1,6.7,2.9, ,2.6,0.7, ,-6.3, , , ,1,4
52,Logan Webb,SFG,30.1,5.4,5.2, ,-1.2,-3.8,-0.1, , , , ,1,4
53,Sean Manaea,SDP,30.0, , , ,6.5,2.6,-1.3, , , , ,1,4
54,Corbin Burnes,MIL,25.2, ,6.5, ,6.6,3.7,-0.3,-3.7, , , ,1,4
55,Dane Dunning,TEX,26.0, ,4.1, ,2.8,1.2,-3.6, , , , ,1,4
