#,Name,Team,IP,FA-Z,FC-Z,FS-Z,SI-Z,CH-Z,SL-Z,CU-Z,CS-Z,KN-Z,SB-Z,MonthSeason,MonthYear
31,Miles Mikolas,STL,34.0,8.2, , ,6.1,4.7,0.9,-10.9,-10.5, , ,6,9
32,Martin Perez,TEX,37.1,8.0,6.3, ,4.8,3.9,1.9,-4.4, , , ,6,9
33,Aaron Nola,PHI,34.1,7.9,2.4, ,4.7,1.4, ,-7.7, , , ,6,9
34,Jordan Montgomery,STL,33.0,7.9,2.1, ,4.9,5.5, ,-4.3, , , ,6,9
35,Ken Waldichuk,OAK,34.2,7.9, , , ,0.8,-2.5,-7.5, , , ,6,9
36,Johnny Cueto,CHW,34.2,7.8,5.4, ,4.3,1.2,3.5,-1.4, , , ,6,9
37,Jesus Luzardo,MIA,35.0,7.8, , ,5.5,4.1,-1.1, , , , ,6,9
38,Bryse Wilson,PIT,33.1,7.8, ,1.0,3.8,-0.1,-0.6,-4.5, , , ,6,9
39,Cole Irvin,OAK,33.1,7.8, , ,5.4,2.0,-2.1,-5.8, , , ,6,9
40,Merrill Kelly,ARI,42.2,7.8,6.0, ,3.1,0.2,0.7,-7.1, , , ,6,9
41,Jose Urena,COL,33.1,7.7, , ,3.7,4.2,2.3, , , , ,6,9
42,Glenn Otto,TEX,36.0,7.7,6.1, ,4.5, ,-1.7,-7.7, , , ,6,9
43,Pablo Lopez,MIA,34.0,7.7,3.5, ,3.3,2.2, ,-6.8, , , ,6,9
44,Shohei Ohtani,LAA,38.0,7.7,2.9,0.0,2.7, ,0.6,-10.0, , , ,6,9
45,Adrian Sampson,CHC,38.2,7.6, , ,5.5,1.9,-2.1, , , , ,6,9
46,Corbin Burnes,MIL,43.2,7.4,5.5, ,6.5,2.8,-1.0,-6.0, , , ,6,9
47,Luis Cessa,CIN,37.0,7.4, , ,4.9,2.8,-3.8, , , , ,6,9
48,German Marquez,COL,35.0,7.3, , ,4.8,3.9,2.4,-3.3, , , ,6,9
49,Lance Lynn,CHW,37.1,7.3,2.3, ,3.3,2.5,-1.5,-2.3, , , ,6,9
50,Eduardo Rodriguez,DET,41.0,7.1,4.7, ,5.0,2.0,-1.4, , , , ,6,9
51,Sandy Alcantara,MIA,43.0,7.0, , ,3.6,1.3,1.1, , , , ,6,9
52,Luis Castillo,SEA,33.2,6.8,5.4, ,2.5,0.1,-1.4, , , , ,6,9
53,Joe Musgrove,SDP,31.2,6.8,4.2, ,4.3,0.9,-4.3,-9.9, , , ,6,9
54,Brayan Bello,BOS,31.1,6.8, , ,1.9,1.8,-2.5,-7.4, , , ,6,9
55,Hayden Wesneski,CHC,33.0,6.7,2.4, ,2.9,1.1,-0.5, , , , ,6,9
56,Marcus Stroman,CHC,37.0,6.7,2.3, ,0.6,-0.3,-0.9, , , , ,6,9
57,Kyle Freeland,COL,32.2,6.6,1.6, ,2.6,3.4,-4.4, , , , ,6,9
58,Chris Bassitt,NYM,33.1,6.4,4.0, ,4.3,2.9,-0.9,-9.9, , , ,6,9
59,Framber Valdez,HOU,37.1,6.3, , ,3.2,0.3,-5.2,-11.0, , , ,6,9
60,Ranger Suarez,PHI,31.2,6.0,3.1, ,2.3,2.4,1.4,-7.3, , , ,6,9
