#,Name,Team,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,MonthSeason,MonthYear
61,Luis Garcia,HOU,-0.3,-0.7,1.1,-0.4,-1.9, , ,-0.16,-1.60,0.81,-0.73,-4.34, , ,5,8
62,Charlie Morton,ATL,-0.5, ,-1.9,5.2,0.4, , ,-0.23, ,-3.94,2.54,1.38, , ,5,8
63,Adam Wainwright,STL,-0.5, ,4.7,2.8,-0.2, , ,-0.24, ,2.76,1.18,-1.70, , ,5,8
64,Spenser Watkins,BAL,-0.5,4.5,-2.1,-0.7,0.3, , ,-0.30,5.32,-1.45,-1.64,2.60, , ,5,8
65,Corbin Burnes,MIL,-0.6,-1.7,4.3,-1.4,-1.8, , ,-1.73,-6.68,1.29,-1.19,-2.56, , ,5,8
66,Tommy Henry,ARI,-0.7,-0.8, ,0.0,0.1, , ,-0.22,-0.77, ,-0.05,0.22, , ,5,8
67,Adam Oller,OAK,-0.7,-0.6,3.5, ,0.4, , ,-0.33,-0.89,3.31, ,0.65, , ,5,8
68,Kyle Bradish,BAL,-0.8,0.0, ,1.7,1.0, , ,-0.35,-0.02, ,2.54,3.23, , ,5,8
69,Noah Syndergaard,PHI,-0.8,0.7, ,-0.6,-0.3, , ,-0.40,0.60, ,-1.05,-0.68, , ,5,8
70,Miles Mikolas,STL,-1.5,-3.9, ,0.3,1.9, , ,-0.51,-2.90, ,0.22,15.93, , ,5,8
71,Corey Kluber,TBR,-1.6, ,1.6,-5.1,0.6, , ,-1.79, ,1.17,-4.33,0.78, , ,5,8
72,James Kaprielian,OAK,-1.7,-2.5, ,-0.7,-2.8, , ,-0.55,-2.98, ,-0.83,-5.92, , ,5,8
73,Jameson Taillon,NYY,-1.8,-0.6,1.5,3.0,-2.3, , ,-0.69,-0.63,3.94,3.76,-5.95, , ,5,8
74,Brandon Woodruff,MIL,-1.9,1.1, ,1.6,-0.1, , ,-0.65,3.73, ,1.63,-0.11, , ,5,8
75,Lucas Giolito,CHW,-2.1,-1.1, ,0.0,-1.1, , ,-0.76,-0.93, ,-0.20,-0.76, , ,5,8
76,Kyle Gibson,PHI,-3.1,3.2,4.1,-1.8,0.0, , ,-1.81,3.53,3.47,-3.81,0.05, , ,5,8
77,Marco Gonzales,SEA,-3.5, ,-0.7,-1.4,-1.2, , ,-1.90, ,-0.58,-1.48,-0.89, , ,5,8
78,Jordan Lyles,BAL,-3.6,3.3,-0.8,-1.0,0.2, , ,-1.21,2.55,-2.08,-1.10,0.69, , ,5,8
79,Ryan Feltner,COL,-3.6,-1.2, ,-0.6,-1.7, , ,-1.28,-0.92, ,-1.05,-3.91, , ,5,8
80,Nick Pivetta,BOS,-4.1,3.6, ,0.3,0.0, , ,-1.80,2.78, ,0.19,-0.70, , ,5,8
81,Jose Urena,COL,-6.9,0.0, , ,-1.9, , ,-2.31,0.02, , ,-2.34, , ,5,8
82,Kutter Crawford,BOS,-8.0,-1.4,0.5,-3.4,0.9, , ,-4.46,-5.61,0.29,-3.62,2.50, , ,5,8
83,Kris Bubic,KCR,-8.5, , ,0.1,-0.6, , ,-3.19, , ,0.07,-0.44, , ,5,8
