#,Name,Team,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,MonthSeason,MonthYear
1,Miles Mikolas,STL,10.6,-3.7, ,-0.9,-3.4, , ,3.75,-2.41, ,-0.80,-17.63, , ,4,2022-07-01
2,Cole Irvin,OAK,9.5,1.1, ,0.1,0.7, , ,3.47,3.26, ,0.28,1.15, , ,4,2022-07-01
3,Triston McKenzie,CLE,8.0,0.9, ,4.0, , , ,3.12,0.79, ,4.06, , , ,4,2022-07-01
4,Spencer Strider,ATL,6.7,0.5, , ,-0.5, , ,2.13,0.42, , ,-1.87, , ,4,2022-07-01
5,Carlos Rodon,SFG,6.4,-0.8, ,1.3,-0.2, , ,1.70,-0.47, ,4.09,-0.97, , ,4,2022-07-01
6,Zack Wheeler,PHI,6.2,-0.3,2.4,-0.1, ,-0.6, ,2.05,-0.47,4.06,-0.09, ,-12.15, ,4,2022-07-01
7,Luis Castillo,CIN,5.8,-0.1, , ,0.0, , ,2.39,-0.07, , ,-0.02, , ,4,2022-07-01
8,Chris Bassitt,NYM,5.8,-3.4,0.5,1.1,-0.7, , ,3.25,-4.63,1.00,1.84,-2.78, , ,4,2022-07-01
9,Jose Urquidy,HOU,5.5,0.7,0.3,0.3,1.7, , ,1.82,1.10,34.27,0.44,2.32, , ,4,2022-07-01
10,Tyler Anderson,LAD,5.3, ,3.0,-0.1,1.4, , ,2.30, ,3.79,-3.65,0.90, , ,4,2022-07-01
11,Aaron Nola,PHI,5.2, ,0.0,1.3,-1.8, , ,1.98, ,0.21,1.03,-1.96, , ,4,2022-07-01
12,Merrill Kelly,ARI,5.1,0.0,3.3,2.5,1.1, , ,1.96,0.35,2.64,3.23,0.94, , ,4,2022-07-01
13,Kyle Freeland,COL,4.9,-4.1, ,1.7,-4.1, , ,2.36,-4.09, ,1.60,-5.72, , ,4,2022-07-01
14,Brandon Woodruff,MIL,4.9,-0.3, ,0.7,0.1, , ,1.56,-0.65, ,1.30,0.10, , ,4,2022-07-01
15,Julio Urias,LAD,3.8, , ,-1.2,2.0, , ,1.69, , ,-0.89,2.74, , ,4,2022-07-01
16,Reid Detmers,LAA,3.6,3.8, ,0.8,-0.1, , ,2.14,3.19, ,1.28,-0.30, , ,4,2022-07-01
17,Alex Cobb,SFG,3.2, , ,0.1,3.2, , ,1.30, , ,0.19,1.28, , ,4,2022-07-01
18,Braxton Garrett,MIA,3.1,2.1, ,0.1,0.9, , ,1.40,1.54, ,0.19,2.20, , ,4,2022-07-01
19,Gerrit Cole,NYY,3.0,-1.5,-2.0,1.0,1.7, , ,0.93,-0.98,-12.44,1.62,2.69, , ,4,2022-07-01
20,Jake Odorizzi,HOU,2.9,0.1,-0.4,0.2,-1.2, , ,1.28,0.18,-0.48,0.61,-2.07, , ,4,2022-07-01
21,Clayton Kershaw,LAD,2.9,2.5, ,0.5,0.2, , ,1.56,1.18, ,0.68,19.63, , ,4,2022-07-01
22,Max Scherzer,NYM,2.7,3.3,0.2,-1.3,1.1, , ,1.27,2.57,0.82,-3.30,2.16, , ,4,2022-07-01
23,Lucas Giolito,CHW,2.5,-2.8, ,0.0,-0.1, , ,1.26,-2.18, ,-0.80,-0.04, , ,4,2022-07-01
24,Jose Quintana,PIT,2.2,1.2, ,1.8,-3.0, , ,0.99,4.99, ,1.66,-3.22, , ,4,2022-07-01
25,Nestor Cortes,NYY,2.1,1.9,-0.2, ,-1.3, , ,1.01,2.07,-0.19, ,-5.39, , ,4,2022-07-01
26,Joe Ryan,MIN,2.1,-2.3, ,-0.9,-0.1, , ,0.89,-3.08, ,-2.59,-0.18, , ,4,2022-07-01
27,Max Fried,ATL,2.1,2.5, ,1.4,1.6, , ,0.75,2.19, ,1.32,2.20, , ,4,2022-07-01
28,Kyle Gibson,PHI,2.0,-3.8,1.4,-0.8,0.0, , ,1.12,-4.87,1.35,-1.87,0.13, , ,4,2022-07-01
29,Logan Webb,SFG,1.8,2.3, , ,-0.7, , ,0.90,1.20, , ,-0.35, , ,4,2022-07-01
30,James Kaprielian,OAK,1.7,-0.2, ,1.8,1.6, , ,0.78,-0.17, ,2.78,4.92, , ,4,2022-07-01
