#,Name,Team,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,MonthSeason,MonthYear
31,Yu Darvish,SDP,1.3,1.2,5.0,0.4,0.4,-1.1, ,0.92,1.96,2.22,1.07,4.13,-4.04, ,3,2022-06-01
32,Alex Wood,SFG,1.2,-0.6, , ,0.8, , ,0.58,-0.32, , ,0.68, , ,3,2022-06-01
33,Sean Manaea,SDP,0.8,2.2, , ,-0.3, , ,0.26,3.52, , ,-0.30, , ,3,2022-06-01
34,Rony Garcia,DET,0.8,-0.7, , ,0.1, , ,0.31,-0.54, , ,0.30, , ,3,2022-06-01
35,Taijuan Walker,NYM,0.7,0.0,0.2,-0.9, ,7.0, ,0.34,0.02,1.32,-2.49, ,3.68, ,3,2022-06-01
36,Tyler Wells,BAL,0.3,-0.2,1.0,0.0,1.7, , ,0.15,-1.32,1.01,0.09,2.49, , ,3,2022-06-01
37,Corey Kluber,TBR,0.2, ,2.5,-1.7,1.8, , ,0.15, ,1.83,-1.73,4.04, , ,3,2022-06-01
38,Zac Gallen,ARI,0.0,-0.3,-1.7,0.8,-4.6, , ,0.00,-1.45,-5.68,0.70,-5.09, , ,3,2022-06-01
39,Jose Quintana,PIT,0.0,-0.2, ,-2.2,-2.2, , ,-0.02,-0.53, ,-2.02,-1.98, , ,3,2022-06-01
40,Jeffrey Springs,TBR,-0.1,4.0, , ,-4.1, , ,-0.04,2.87, , ,-3.03, , ,3,2022-06-01
41,Kyle Freeland,COL,-0.2,0.4, ,-1.1,0.9, , ,-0.09,0.42, ,-1.69,1.34, , ,3,2022-06-01
42,Shane Bieber,CLE,-0.2,6.5,1.0,-2.4,0.5, , ,-0.13,3.69,1.47,-2.35,2.55, , ,3,2022-06-01
43,Tyler Anderson,LAD,-0.3, ,-1.9,-0.1,2.9, , ,-0.16, ,-2.37,-1.07,1.87, , ,3,2022-06-01
44,Logan Webb,SFG,-0.5,2.9, , ,2.7, , ,-0.32,1.46, , ,1.88, , ,3,2022-06-01
45,Dakota Hudson,STL,-0.6,2.6, ,0.4,-0.1, , ,-0.21,1.43, ,0.55,-0.30, , ,3,2022-06-01
46,Keegan Thompson,CHC,-0.7,0.2,1.0,-3.4,-0.3, , ,-0.30,1.06,0.92,-5.16,-1.16, , ,3,2022-06-01
47,Kyle Hendricks,CHC,-0.7, , ,0.0,-1.1, , ,-0.32, , ,-0.03,-0.80, , ,3,2022-06-01
48,Jose Urquidy,HOU,-0.7,1.2,0.5,-0.3,0.3, , ,-0.28,1.97,2.15,-0.52,0.49, , ,3,2022-06-01
49,Luis Severino,NYY,-0.8,3.4,0.0, ,1.5, , ,-0.36,2.81,0.08, ,1.62, , ,3,2022-06-01
50,Corbin Burnes,MIL,-0.9,1.2,2.6,-4.1,0.7, , ,-2.05,1.99,0.87,-4.90,2.13, , ,3,2022-06-01
51,Michael Wacha,BOS,-1.0, ,0.3,-0.5,1.0, , ,-0.42, ,0.44,-1.97,0.67, , ,3,2022-06-01
52,Ranger Suarez,PHI,-1.0,0.7,0.1,-0.4,0.9, , ,-0.34,3.98,0.58,-1.00,1.05, , ,3,2022-06-01
53,Chad Kuhl,COL,-1.3,0.4, ,0.2,-0.3, , ,-0.62,0.24, ,0.31,-0.62, , ,3,2022-06-01
54,Charlie Morton,ATL,-1.3, ,-0.4,4.2,-1.4, , ,-0.58, ,-0.69,2.36,-3.23, , ,3,2022-06-01
55,Antonio Senzatela,COL,-1.5,-4.2, ,0.9,-0.2, , ,-0.52,-3.76, ,5.28,-0.51, , ,3,2022-06-01
56,Jason Alexander,MIL,-1.5,-0.7, , ,-3.2, , ,-0.52,-0.66, , ,-4.16, , ,3,2022-06-01
57,Kyle Wright,ATL,-1.6,-0.2, ,4.1,2.1, , ,-0.62,-0.61, ,2.32,1.80, , ,3,2022-06-01
58,Frankie Montas,OAK,-1.6,2.5, , , ,-0.7, ,-0.63,1.77, , , ,-0.68, ,3,2022-06-01
59,Tarik Skubal,DET,-1.7,-1.7, ,-0.4,0.6, , ,-0.62,-0.95, ,-0.87,0.71, , ,3,2022-06-01
60,Cole Irvin,OAK,-1.8,0.7,0.1,-2.4,1.4, , ,-0.61,2.58,1.21,-3.62,1.17, , ,3,2022-06-01
