#,Name,Team,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,MonthSeason,MonthYear
1,Carlos Rodon,SFG,7.0,1.1, ,0.1, , , ,2.83,1.05, ,0.53, , , ,1,2022-04-01
2,Alek Manoah,TOR,6.1,2.6, , ,-1.6, , ,2.82,2.42, , ,-4.32, , ,1,2022-04-01
3,Tylor Megill,NYM,5.8,2.2,0.0,0.4,-1.4, , ,2.41,3.12,3.99,3.32,-1.72, , ,1,2022-04-01
4,Joe Ryan,MIN,5.6,1.2, ,0.6,0.2, , ,3.30,1.18, ,2.46,0.67, , ,1,2022-04-01
5,Justin Verlander,HOU,5.6,0.9, ,0.6,0.0, , ,3.23,0.89, ,0.99,0.17, , ,1,2022-04-01
6,Logan Gilbert,SEA,4.7,0.2, ,0.8,0.8, , ,2.20,0.20, ,2.39,2.46, , ,1,2022-04-01
7,Nathan Eovaldi,BOS,4.2,-4.1,-1.6,3.3, ,-0.5, ,2.43,-6.57,-4.62,3.29, ,-0.65, ,1,2022-04-01
8,Pablo Lopez,MIA,3.9, ,1.9,-0.4,3.6, , ,2.21, ,5.60,-2.43,2.90, , ,1,2022-04-01
9,Dylan Cease,CHW,3.7,1.9, ,-0.7,-1.2, , ,2.59,1.37, ,-1.12,-7.08, , ,1,2022-04-01
10,Miles Mikolas,STL,3.5,2.9, ,-0.5,1.0, , ,1.85,2.18, ,-0.51,2.88, , ,1,2022-04-01
11,Kyle Gibson,PHI,3.4,1.4,1.7,-2.6,0.1, , ,1.65,1.49,2.07,-26.46,0.16, , ,1,2022-04-01
12,Robbie Ray,SEA,3.2,-0.2, ,-1.1,0.3, , ,1.23,-0.12, ,-9.26,34.27, , ,1,2022-04-01
13,Kyle Wright,ATL,2.6,-0.1, ,3.9,1.2, , ,1.58,-0.32, ,3.24,2.18, , ,1,2022-04-01
14,Sandy Alcantara,MIA,2.6,-1.0, , ,2.7, , ,1.25,-1.08, , ,3.45, , ,1,2022-04-01
15,Cal Quantrill,CLE,2.5,-0.7, ,0.4,-0.7, , ,1.45,-0.46, ,3.93,-2.52, , ,1,2022-04-01
16,Max Scherzer,NYM,2.5,3.4,2.1,0.3,0.6, , ,1.46,5.59,4.41,0.74,1.05, , ,1,2022-04-01
17,Sean Manaea,SDP,2.4,0.8, , ,1.5, , ,0.88,1.19, , ,1.37, , ,1,2022-04-01
18,Aaron Nola,PHI,2.2, ,0.7,0.3,-2.2, , ,1.06, ,2.40,0.26,-3.06, , ,1,2022-04-01
19,Cole Irvin,OAK,2.1,-0.2,-0.5,0.3,-0.7, , ,0.92,-0.39,-1.28,1.40,-0.89, , ,1,2022-04-01
20,Chris Bassitt,NYM,2.1,1.6,2.8,0.3,-1.3, , ,1.20,2.52,3.14,0.75,-6.11, , ,1,2022-04-01
21,Max Fried,ATL,2.0,1.2, ,1.4,0.6, , ,1.33,1.61, ,1.72,1.55, , ,1,2022-04-01
22,Merrill Kelly,ARI,1.8, ,1.1,-0.2,2.2, , ,1.00, ,1.23,-0.30,2.32, , ,1,2022-04-01
23,Joe Musgrove,SDP,1.8,3.0,-1.8,1.0,0.8, , ,1.69,2.85,-3.93,2.21,1.89, , ,1,2022-04-01
24,Clayton Kershaw,LAD,1.7,4.7, ,1.1,-0.5, , ,1.31,3.28, ,2.15,-8.54, , ,1,2022-04-01
25,Brad Keller,KCR,1.6,3.9, , ,1.4, , ,0.80,3.84, , ,4.28, , ,1,2022-04-01
26,Martin Perez,TEX,1.3, ,1.1,-0.7,2.1, , ,1.06, ,2.02,-1.49,2.84, , ,1,2022-04-01
27,Dylan Bundy,MIN,1.3,0.5, ,1.0,-0.7, , ,0.84,0.77, ,3.07,-1.25, , ,1,2022-04-01
28,Tyler Mahle,CIN,0.9,-0.8,0.0, , ,-2.7, ,0.47,-1.28,0.08, , ,-2.47, ,1,2022-04-01
29,Kevin Gausman,TOR,0.6,0.5, , ,-0.6,6.1, ,0.35,0.89, , ,-7.13,5.21, ,1,2022-04-01
30,Dane Dunning,TEX,0.5,-0.8,-0.1, ,-0.4, , ,0.33,-0.56,-0.24, ,-0.45, , ,1,2022-04-01
