#,Name,Team,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,MonthSeason,MonthYear
1,Nick Pivetta,BOS,6.8,3.0, ,0.4,-1.8, , ,2.49,3.27, ,0.27,-8.66, , ,2,2022-05-01
2,Michael Lorenzen,LAA,6.4,1.3,-1.0, ,-0.4, , ,2.68,1.92,-1.55, ,-0.43, , ,2,2022-05-01
3,Triston McKenzie,CLE,5.0,1.7, ,0.8, , , ,1.82,1.78, ,0.75, , , ,2,2022-05-01
4,Aaron Nola,PHI,4.8, ,-1.5,1.6,-0.6, , ,1.70, ,-9.55,1.11,-0.81, , ,2,2022-05-01
5,Zack Wheeler,PHI,4.5,0.8,-0.1,0.5, ,-0.1, ,1.68,0.92,-0.11,1.20, ,-3.42, ,2,2022-05-01
6,Jose Quintana,PIT,4.4,-0.7, ,2.8,-3.2, , ,1.90,-1.53, ,4.53,-3.09, , ,2,2022-05-01
7,Frankie Montas,OAK,4.3,2.0, , , ,-0.5, ,1.58,1.65, , , ,-0.34, ,2,2022-05-01
8,Dane Dunning,TEX,4.1,-2.7,-0.9, ,-2.4, , ,1.89,-2.19,-3.71, ,-2.29, , ,2,2022-05-01
9,Ian Anderson,ATL,3.9, , ,-0.2,-4.8, , ,1.67, , ,-0.20,-3.61, , ,2,2022-05-01
10,Nestor Cortes,NYY,3.8,1.1,2.7, ,1.0, , ,1.92,1.39,1.36, ,5.29, , ,2,2022-05-01
11,Shane McClanahan,TBR,3.7,-0.4, ,2.8, ,2.7, ,1.94,-0.60, ,2.54, ,2.87, ,2,2022-05-01
12,Gerrit Cole,NYY,3.7,3.1,2.2,-1.8,-1.2, , ,1.45,2.48,3.33,-5.06,-3.03, , ,2,2022-05-01
13,Martin Perez,TEX,3.7, ,6.4,-1.9,5.5, , ,1.37, ,4.38,-10.10,3.80, , ,2,2022-05-01
14,Paul Blackburn,OAK,3.4,-1.8,0.3,3.6,-3.7, , ,1.42,-6.99,0.37,4.10,-5.83, , ,2,2022-05-01
15,Tarik Skubal,DET,3.4,6.7, ,-3.5,1.1, , ,1.68,4.33, ,-11.68,1.65, , ,2,2022-05-01
16,Kevin Gausman,TOR,2.9,-0.1, , ,0.0,1.4, ,0.99,-0.18, , ,3.99,0.57, ,2,2022-05-01
17,Yusei Kikuchi,TOR,2.8,0.9,0.0, , ,2.2, ,1.08,0.83,0.09, , ,5.07, ,2,2022-05-01
18,Ranger Suarez,PHI,2.7,-2.4, ,-0.7,-3.0, , ,0.68,-5.55, ,-4.69,-2.44, , ,2,2022-05-01
19,Jakob Junis,SFG,2.6,0.5, , ,-0.9, , ,2.14,0.23, , ,-1.69, , ,2,2022-05-01
20,Adam Wainwright,STL,2.5, ,1.7,1.7,0.8, , ,1.26, ,1.53,1.16,1.89, , ,2,2022-05-01
21,Dylan Cease,CHW,2.5,4.8, ,-6.1,-1.7, , ,0.94,2.72, ,-7.38,-5.94, , ,2,2022-05-01
22,Luis Severino,NYY,2.5,2.3,-1.8, ,-2.3, , ,1.10,2.35,-5.94, ,-1.82, , ,2,2022-05-01
23,Carlos Carrasco,NYM,2.3,-1.4, ,-0.9,0.9, , ,1.06,-1.57, ,-4.52,0.87, , ,2,2022-05-01
24,Charlie Morton,ATL,2.2, ,0.8,-3.4,0.4, , ,0.94, ,1.55,-1.84,0.68, , ,2,2022-05-01
25,Jameson Taillon,NYY,2.2,0.7,-0.6,0.6,2.6, , ,1.12,0.88,-0.84,1.43,7.28, , ,2,2022-05-01
26,Cal Quantrill,CLE,1.9,-0.7, ,0.1,0.8, , ,0.77,-0.36, ,2.77,1.58, , ,2,2022-05-01
27,Joe Musgrove,SDP,1.7,3.6,1.4,0.2,-1.4, , ,1.26,2.38,1.65,0.18,-6.25, , ,2,2022-05-01
28,Drew Rasmussen,TBR,1.6,-1.5,1.9,0.0, , , ,0.93,-0.99,1.19,-0.28, , , ,2,2022-05-01
29,Julio Urias,LAD,1.5, , ,-1.3,-2.8, , ,0.77, , ,-0.71,-2.79, , ,2,2022-05-01
30,Miles Mikolas,STL,1.4,0.9, ,-0.9,-1.6, , ,0.58,0.65, ,-0.94,-5.96, , ,2,2022-05-01
