#,Name,Team,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,MonthSeason,MonthYear
31,Martin Perez,TEX,0.2,0.1,1.3,0.6,2.8, , ,0.07,0.69,1.01,6.91,1.68, , ,6,2022-09-01
32,Joe Musgrove,SDP,0.0,-0.6,1.1,-2.9,1.1, , ,0.02,-0.58,0.81,-3.35,2.70, , ,6,2022-09-01
33,Corbin Burnes,MIL,0.0,3.0,4.6,1.6,-1.2, , ,0.01,4.01,1.29,1.43,-1.41, , ,6,2022-09-01
34,Jeffrey Springs,TBR,-0.3,-2.1, , ,8.4, , ,-0.15,-1.76, , ,4.13, , ,6,2022-09-01
35,Bryse Wilson,PIT,-0.5,-1.1, ,2.0,0.1, , ,-0.20,-1.73, ,3.25,0.14, , ,6,2022-09-01
36,Julio Urias,LAD,-0.7, , ,4.4,1.0, , ,-0.26, , ,2.32,1.28, , ,6,2022-09-01
37,Kyle Bradish,BAL,-0.7,6.6, ,-1.9,1.2, , ,-0.27,3.15, ,-1.91,3.67, , ,6,2022-09-01
38,Eduardo Rodriguez,DET,-1.1,-2.0,2.8, ,-4.3, , ,-0.30,-9.88,1.72, ,-4.24, , ,6,2022-09-01
39,Merrill Kelly,ARI,-1.2,0.2,-0.3,0.0,-2.5, , ,-0.43,19.09,-0.21,0.03,-1.76, , ,6,2022-09-01
40,Ross Stripling,TOR,-1.3,2.0, ,-0.5,3.5, , ,-0.72,2.11, ,-1.03,2.21, , ,6,2022-09-01
41,Nick Pivetta,BOS,-1.4,-0.3, ,-4.1,-1.9, , ,-0.39,-0.27, ,-2.46,-12.71, , ,6,2022-09-01
42,Taijuan Walker,NYM,-1.4,-2.4,0.9,0.3, ,4.1, ,-0.62,-3.41,3.89,0.38, ,2.95, ,6,2022-09-01
43,Marcus Stroman,CHC,-1.7,2.6,1.4,-0.1,0.9, , ,-0.68,1.76,2.05,-0.44,1.52, , ,6,2022-09-01
44,Cal Quantrill,CLE,-1.9,3.1, ,-1.4,1.4, , ,-0.71,1.49, ,-3.82,1.93, , ,6,2022-09-01
45,German Marquez,COL,-2.2,-0.1, ,-0.5,-0.4, , ,-0.78,-0.07, ,-0.39,-3.46, , ,6,2022-09-01
46,Kyle Freeland,COL,-2.2,1.1, ,0.3,-1.6, , ,-0.93,0.82, ,0.35,-2.95, , ,6,2022-09-01
47,Framber Valdez,HOU,-2.5, ,1.4,0.7,1.1, , ,-0.94, ,1.53,0.45,1.90, , ,6,2022-09-01
48,Lucas Giolito,CHW,-2.6,2.6, ,-0.3,3.8, , ,-0.94,2.39, ,-1.18,2.45, , ,6,2022-09-01
49,Gerrit Cole,NYY,-2.7,3.3,-2.2,0.4,-0.3, , ,-0.88,2.10,-21.68,0.39,-0.63, , ,6,2022-09-01
50,Lance McCullers Jr.,HOU,-2.9,4.5,0.5,1.9,-0.3, , ,-2.67,3.12,1.41,1.59,-0.36, , ,6,2022-09-01
51,Jon Heasley,KCR,-2.9,0.5, ,-0.5,0.2, , ,-1.14,0.65, ,-0.61,0.20, , ,6,2022-09-01
52,Glenn Otto,TEX,-2.9,1.9, ,-1.5, , , ,-1.00,1.00, ,-1.92, , , ,6,2022-09-01
53,Jameson Taillon,NYY,-3.0,2.4,-0.2,2.9,-1.6, , ,-1.09,1.88,-0.62,3.10,-4.39, , ,6,2022-09-01
54,Sandy Alcantara,MIA,-3.3,-0.3, , ,7.0, , ,-1.09,-0.29, , ,3.72, , ,6,2022-09-01
55,Charlie Morton,ATL,-3.3, ,-2.6,0.1,-0.6, , ,-1.31, ,-9.39,0.04,-1.02, , ,6,2022-09-01
56,Dean Kremer,BAL,-3.6, ,4.7,-0.8,-0.6, , ,-1.48, ,2.46,-0.83,-0.54, , ,6,2022-09-01
57,Tyler Alexander,DET,-3.7,-0.4,2.3, ,-3.2, , ,-1.59,-1.13,1.73, ,-3.31, , ,6,2022-09-01
58,Ranger Suarez,PHI,-3.8,0.3,1.2,-1.4,-0.6, , ,-1.69,3.87,1.28,-2.26,-0.55, , ,6,2022-09-01
59,Rich Hill,BOS,-3.8,0.7,0.7,0.7, ,-0.2, ,-1.82,1.15,0.53,0.39, ,-1.42, ,6,2022-09-01
60,Robbie Ray,SEA,-4.1,1.7, ,-2.2,-0.9, , ,-1.12,0.96, ,-44.18,-8.90, , ,6,2022-09-01
