#,Name,Team,IP,vFA,vFC,vFS,vSI,vCH,vSL,vCU,vCS,vKN,vSB,MonthSeason,MonthYear
1,Jacob deGrom,NYM,36.1,99.3, , , ,92.7,93.0,83.4, , , ,5,8
2,Sandy Alcantara,MIA,36.1,98.3, , ,98.1,92.0,90.5, , , , ,5,8
3,Gerrit Cole,NYY,39.1,97.4, , , ,89.0,88.8,82.7, , , ,5,8
4,Luis Castillo,SEA,31.2,97.1, , ,97.0,88.4,86.3, , , , ,5,8
5,Dylan Cease,CHW,30.1,97.0, ,79.1, , ,87.6,81.3, , , ,5,8
6,German Marquez,COL,31.0,96.6, , ,95.4,87.0,89.1,87.0, , , ,5,8
7,Brandon Woodruff,MIL,30.0,96.6, , ,96.2,86.7,87.9,84.5, , , ,5,8
8,Jose Urena,COL,29.0,96.2, , ,95.5,90.3,86.8, , , , ,5,8
9,Drew Rasmussen,TBR,34.1,95.9,89.2, ,94.9, ,85.4,80.2, , , ,5,8
10,Edward Cabrera,MIA,28.1,95.8, , ,95.7,92.4,87.0,83.5, , , ,5,8
11,Blake Snell,SDP,32.0,95.7, , , ,87.1,88.0,80.9, , , ,5,8
12,Jesus Luzardo,MIA,36.1,95.6, , ,95.1,86.7,82.9, , , , ,5,8
13,Corbin Burnes,MIL,33.2,95.5,95.5, ,96.5,90.3,89.0,81.1, , , ,5,8
14,George Kirby,SEA,29.1,95.4, , ,95.1,86.7,85.4,82.1, , , ,5,8
15,Justin Verlander,HOU,28.0,95.2, , , ,86.8,87.8,79.5, , , ,5,8
16,Yu Darvish,SDP,33.1,95.1,90.2,89.3,94.5,86.4,84.8,76.5, , , ,5,8
17,Alex Cobb,SFG,29.0,95.0, ,89.3,94.7, , ,84.1, , , ,5,8
18,Carlos Rodon,SFG,28.1,94.8, , , ,84.3,84.9,79.7, , , ,5,8
19,Nick Lodolo,CIN,28.2,94.8, , ,94.3,88.7, ,81.3, , , ,5,8
20,Charlie Morton,ATL,30.1,94.6, , ,94.5,87.0,88.8,81.5, , , ,5,8
21,Kevin Gausman,TOR,36.2,94.6, ,84.9, , ,84.3, , , , ,5,8
22,Kyle Wright,ATL,32.0,94.5, , ,94.2,88.3,90.6,85.2, , , ,5,8
23,James Kaprielian,OAK,29.0,94.3, , ,93.9,85.4,83.5,79.7, , , ,5,8
24,Noah Syndergaard,PHI,30.2,94.3, , ,93.6,88.9,86.6,77.2, , , ,5,8
25,Cal Quantrill,CLE,38.0,94.3,89.0, ,94.2,85.9, ,83.4, , , ,5,8
26,Daniel Lynch,KCR,32.0,94.2, , ,93.7,85.2,86.2,80.7, , , ,5,8
27,Ryan Feltner,COL,30.0,94.2, , ,93.2,83.9,84.0,77.5, , , ,5,8
28,Cristian Javier,HOU,32.0,94.1, , , ,84.1,80.2,77.0, , , ,5,8
29,Framber Valdez,HOU,35.1,94.0, , ,94.0,88.3,82.9,79.2, , , ,5,8
30,Kutter Crawford,BOS,29.2,94.0,88.6,85.7, , ,85.7,80.0, , , ,5,8
