#,Name,Team,IP,vFA,vFC,vFS,vSI,vCH,vSL,vCU,vCS,vKN,vSB,MonthSeason,MonthYear
1,Sandy Alcantara,MIA,34.0,98.1, , ,97.9,91.8,89.7, , , , ,4,7
2,Shohei Ohtani,LAA,25.1,98.0,90.5,90.0,99.5, ,85.5,79.1, , , ,4,7
3,Gerrit Cole,NYY,38.0,98.0,91.7, , ,89.8,88.9,82.5, , , ,4,7
4,Spencer Strider,ATL,26.2,98.0, , , ,89.0,86.4, , , , ,4,7
5,Luis Castillo,CIN,28.0,97.2, , ,97.1,88.6,86.9, , , , ,4,7
6,Dylan Cease,CHW,35.2,97.2, ,79.7, , ,87.8,82.2, , , ,4,7
7,Jon Gray,TEX,30.1,96.7, , , ,88.8,85.2,77.6, , , ,4,7
8,Shane McClanahan,TBR,30.2,96.4, , , ,87.5,89.1,81.5, , , ,4,7
9,Jose Urena,COL,27.0,96.3, , ,95.9,90.5,87.7, , , , ,4,7
10,Brandon Woodruff,MIL,30.0,96.2, , ,95.7,85.9,87.6,83.7, , , ,4,7
11,Aaron Ashby,MIL,25.2,96.1, , ,95.7,89.9,83.7,79.6, , , ,4,7
12,Logan Gilbert,SEA,28.1,96.0, , , ,86.0,86.5,81.0, , , ,4,7
13,German Marquez,COL,31.2,96.0, , ,95.2,87.7,88.6,86.6, , , ,4,7
14,Corbin Burnes,MIL,31.1,95.9,95.2, ,96.3,90.4,89.1,81.9, , , ,4,7
15,Zack Wheeler,PHI,32.2,95.8, ,90.3,95.5,89.5,90.1,81.1, , , ,4,7
16,Alex Cobb,SFG,36.0,95.7, ,89.5,94.7, , ,84.0, , , ,4,7
17,Blake Snell,SDP,25.2,95.7, , , ,86.7,89.3,82.2, , , ,4,7
18,Carlos Rodon,SFG,37.0,95.2, , , ,84.7,85.2,80.3, , , ,4,7
19,Yu Darvish,SDP,34.0,95.1,89.9,89.3,94.6,90.1,84.7,76.1, , , ,4,7
20,Kyle Wright,ATL,30.2,95.1, , ,94.4,87.8,89.9,84.5, , , ,4,7
21,Brad Keller,KCR,28.2,94.9, , ,93.3,89.7,86.2, , , , ,4,7
22,Andre Pallante,STL,26.1,94.9, , ,94.8,82.8,87.1,77.2, , , ,4,7
23,Josiah Gray,WSN,26.2,94.8, , , ,88.2,86.2,82.8, , , ,4,7
24,Mitch Keller,PIT,31.0,94.8, , ,93.9,90.5,82.3,77.6, , , ,4,7
25,Charlie Morton,ATL,30.0,94.8, , ,94.8,86.9,88.8,80.9, , , ,4,7
26,Kutter Crawford,BOS,28.0,94.5,89.3,88.0, , ,85.6,79.8, , , ,4,7
27,Max Scherzer,NYM,32.1,94.3,89.4, , ,84.3,85.2,74.6, , , ,4,7
28,Robbie Ray,SEA,25.0,94.2, , ,93.9,87.1,87.2,78.9, , , ,4,7
29,Framber Valdez,HOU,33.2,93.9, , ,93.7,88.5,83.0,79.4, , , ,4,7
30,James Kaprielian,OAK,28.0,93.9, , ,94.0,84.8,83.9,79.2, , , ,4,7
