#,Name,Team,IP,vFA,vFC,vFS,vSI,vCH,vSL,vCU,vCS,vKN,vSB,MonthSeason,MonthYear
31,Tyler Wells,BAL,26.0,94.0, , , ,86.6,87.3,76.5, , , ,3,6
32,Tarik Skubal,DET,32.1,94.0, , ,94.7,83.5,90.1,76.9, , , ,3,6
33,Alek Manoah,TOR,38.2,93.9, , ,93.2,86.9,81.4, , , , ,3,6
34,Nick Pivetta,BOS,40.0,93.9, ,88.2, , ,84.7,77.9, , , ,3,6
35,Chris Bassitt,NYM,30.2,93.9,89.7, ,93.3,85.4,78.5,72.3, , , ,3,6
36,Dean Kremer,BAL,28.0,93.8,87.4, , ,84.2, ,76.6, , , ,3,6
37,Jose Berrios,TOR,28.2,93.8, , ,93.4,84.9,82.8, , , , ,3,6
38,Carlos Carrasco,NYM,29.2,93.7, , ,92.4,88.1,85.8,81.8, , , ,3,6
39,Zac Gallen,ARI,25.2,93.7,90.3, , ,86.9,87.1,80.4, , , ,3,6
40,Jose Urquidy,HOU,29.1,93.7,88.7, , ,85.9,79.8,77.7, , , ,3,6
41,Jason Alexander,MIL,30.2,93.6, , ,92.8,81.8,80.5, , , , ,3,6
42,Miles Mikolas,STL,34.0,93.5, , ,92.8,80.9,87.5,75.8,64.5, , ,3,6
43,Michael Wacha,BOS,29.2,93.5,89.3, ,92.8,85.0, ,74.7, , , ,3,6
44,Robbie Ray,SEA,37.0,93.4, , ,93.2,86.1,87.0,80.4, , , ,3,6
45,Tyler Mahle,CIN,33.2,93.4,84.9,85.4, , ,84.5, , , , ,3,6
46,Joe Musgrove,SDP,34.0,93.3,90.2, ,92.3,86.3,83.3,81.8, , , ,3,6
47,Ranger Suarez,PHI,31.0,93.2,88.4, ,92.4,85.4,81.4,77.4, , , ,3,6
48,Cal Quantrill,CLE,31.0,93.2,89.3, ,93.7,85.5, ,82.3, , , ,3,6
49,Eric Lauer,MIL,27.2,93.1,90.4, , ,87.4,87.9,78.2, , , ,3,6
50,Lucas Giolito,CHW,27.0,93.1, , , ,81.6,84.6,79.5, , , ,3,6
51,Tony Gonsolin,LAD,29.0,93.1, ,83.4, , ,87.3,80.6, , , ,3,6
52,Framber Valdez,HOU,32.0,93.0, , ,94.1,88.0,83.6,78.8, , , ,3,6
53,Martin Perez,TEX,30.0,93.0,89.9, ,92.9,84.9, ,78.4, , , ,3,6
54,Aaron Nola,PHI,43.0,93.0,87.0, ,92.3,85.8, ,78.6, , , ,3,6
55,Jordan Montgomery,NYY,32.0,92.8,87.5, ,92.6,82.1, ,79.5, , , ,3,6
56,Julio Urias,LAD,28.2,92.8, , , ,86.1, ,80.3, , , ,3,6
57,Patrick Corbin,WSN,27.1,92.7, , ,93.0,81.7,82.2, , , , ,3,6
58,Logan Webb,SFG,30.1,92.7, , ,92.0,86.5,82.0, , , , ,3,6
59,Merrill Kelly,ARI,30.0,92.7,90.9, ,92.3,88.5, ,82.0, , , ,3,6
60,Rony Garcia,DET,25.1,92.6, , ,92.5,87.0,80.0, , , , ,3,6
