#,Name,Team,IP,vFA,vFC,vFS,vSI,vCH,vSL,vCU,vCS,vKN,vSB,MonthSeason,MonthYear
1,Sandy Alcantara,MIA,25.1,97.5, , ,97.4,91.9,89.8, , , , ,1,2022-04-01
2,Gerrit Cole,NYY,24.0,97.5,91.9, , ,89.6,87.0,82.5, , , ,1,2022-04-01
3,Shane McClanahan,TBR,27.0,97.5, , , ,88.3,89.0,82.3, , , ,1,2022-04-01
4,Jesus Luzardo,MIA,20.1,97.3, , ,96.8,87.5,84.3, , , , ,1,2022-04-01
5,Nathan Eovaldi,BOS,28.2,97.0,91.8,88.9, , ,86.3,79.9, , , ,1,2022-04-01
6,Dylan Cease,CHW,22.0,96.6, ,80.3, , ,85.6,79.3, , , ,1,2022-04-01
7,Carlos Rodon,SFG,23.0,96.3, , , , ,85.5,79.5, , , ,1,2022-04-01
8,Frankie Montas,OAK,29.2,96.1, ,86.4,95.7, ,87.6, , , , ,1,2022-04-01
9,Tylor Megill,NYM,28.0,95.8, , , ,89.4,85.6,80.2, , , ,1,2022-04-01
10,Logan Gilbert,SEA,22.1,95.7, , , ,86.0,86.7,80.2, , , ,1,2022-04-01
11,German Marquez,COL,21.0,95.4, , ,94.3,86.1,86.8,86.4, , , ,1,2022-04-01
12,Kyle Wright,ATL,24.0,95.4, , ,94.6,87.6,89.3,84.3, , , ,1,2022-04-01
13,Justin Verlander,HOU,26.0,95.2, , , ,84.4,87.4,78.2, , , ,1,2022-04-01
14,Walker Buehler,LAD,24.2,95.2,91.5, ,95.2,90.8,83.6,79.5, , , ,1,2022-04-01
15,Yu Darvish,SDP,26.1,95.1,90.6,88.7,94.4,86.1,84.9,77.8, , , ,1,2022-04-01
16,Max Fried,ATL,24.0,94.9, , ,94.6,86.1,87.0,74.9, , , ,1,2022-04-01
17,Joan Adon,WSN,23.1,94.8, , ,94.1,87.1, ,79.6, , , ,1,2022-04-01
18,Kevin Gausman,TOR,24.2,94.6, ,84.7, ,84.6,83.8, , , , ,1,2022-04-01
19,Luis Garcia,HOU,21.2,94.5,85.6, , ,86.2,81.3,79.6, , , ,1,2022-04-01
20,Tarik Skubal,DET,20.2,94.5, , ,95.0,83.7,88.8,76.8, , , ,1,2022-04-01
21,Alek Manoah,TOR,25.0,94.3, , ,93.0,86.6,81.1, , , , ,1,2022-04-01
22,Chad Kuhl,COL,23.2,94.3, , ,93.6,89.4,86.7,79.6, , , ,1,2022-04-01
23,Max Scherzer,NYM,25.0,94.2,89.5, , ,84.1,85.7,76.5, , , ,1,2022-04-01
24,Jose Berrios,TOR,24.0,94.2, , ,93.8,84.7,82.9, , , , ,1,2022-04-01
25,Brad Keller,KCR,24.2,94.2, , ,93.3,90.3,87.6, , , , ,1,2022-04-01
26,Eric Lauer,MIL,23.1,94.1,91.5, , ,88.5,87.6,79.0, , , ,1,2022-04-01
27,Tyler Mahle,CIN,22.1,93.5,87.3,86.1, , ,83.9, , , , ,1,2022-04-01
28,Carlos Carrasco,NYM,22.0,93.2, , ,92.4,87.6,85.9,80.5, , , ,1,2022-04-01
29,Miles Mikolas,STL,29.2,93.1, , ,92.5,83.2,87.8,75.7,67.5, , ,1,2022-04-01
30,Robbie Ray,SEA,30.1,93.1, , , ,86.4,87.0,77.9, , , ,1,2022-04-01
