#,Name,Team,IP,vFA,vFC,vFS,vSI,vCH,vSL,vCU,vCS,vKN,vSB,MonthSeason,MonthYear
31,Ranger Suarez,PHI,29.2,93.7, , ,93.0,85.7,82.9,77.6, , , ,2,2022-05-01
32,Carlos Carrasco,NYM,30.0,93.7, , ,93.0,88.0,86.2,81.7, , , ,2,2022-05-01
33,Tyler Wells,BAL,30.2,93.7, , , ,87.0,84.7,76.1, , , ,2,2022-05-01
34,Ian Anderson,ATL,28.1,93.6, , , ,87.9, ,81.7, , , ,2,2022-05-01
35,Brad Keller,KCR,30.0,93.6, , ,93.1,89.2,86.6, , , , ,2,2022-05-01
36,Miles Mikolas,STL,31.0,93.5, , ,93.1,83.6,87.7,76.0,65.3, , ,2,2022-05-01
37,Cal Quantrill,CLE,31.2,93.5,88.2, ,93.4,85.3, ,82.7, , , ,2,2022-05-01
38,Patrick Sandoval,LAA,28.1,93.5, , ,93.6,84.9,86.7,80.8, , , ,2,2022-05-01
39,Chris Bassitt,NYM,35.0,93.4,88.9, ,92.9,86.6,78.3,71.7, , , ,2,2022-05-01
40,Lucas Giolito,CHW,28.1,93.4, , , ,81.7,84.8,79.9, , , ,2,2022-05-01
41,Martin Perez,TEX,42.1,93.0,89.5, ,92.6,84.4, ,78.5, , , ,2,2022-05-01
42,Nick Pivetta,BOS,38.1,93.0, ,86.3, , ,86.1,76.7, , , ,2,2022-05-01
43,Julio Urias,LAD,35.0,93.0, , , ,85.9, ,81.1, , , ,2,2022-05-01
44,JT Brubaker,PIT,27.1,93.0, , ,93.3,87.2,87.2,80.2, , , ,2,2022-05-01
45,Aaron Nola,PHI,33.0,92.9,87.4, ,92.3,85.9, ,78.7, , , ,2,2022-05-01
46,Joe Musgrove,SDP,33.0,92.9,89.7, ,91.6,86.1,82.8,81.6, , , ,2,2022-05-01
47,Pablo Lopez,MIA,35.2,92.7,88.4, ,92.7,87.2, ,79.3, , , ,2,2022-05-01
48,Logan Webb,SFG,31.0,92.7, , ,92.0,86.3,82.1, , , , ,2,2022-05-01
49,Jordan Montgomery,NYY,33.1,92.5,88.3, ,92.8,82.1, ,80.0, , , ,2,2022-05-01
50,Triston McKenzie,CLE,34.0,92.4, , , , ,87.7,79.3, , , ,2,2022-05-01
51,Zach Plesac,CLE,28.0,92.2, , , ,85.8,85.3,79.6, , , ,2,2022-05-01
52,Jordan Lyles,BAL,37.0,92.0, , ,91.0,86.6,80.3,79.3, , , ,2,2022-05-01
53,Patrick Corbin,WSN,34.2,91.8, , ,92.1,81.6,81.8, , , , ,2,2022-05-01
54,Paul Blackburn,OAK,34.1,91.7,87.1, ,92.0,85.8,79.2,78.9, , , ,2,2022-05-01
55,Nestor Cortes,NYY,32.1,91.2,86.5, , ,81.4,77.5, , , , ,2,2022-05-01
56,Bruce Zimmermann,BAL,32.1,90.9, , ,90.7,85.0,85.0,81.0, , , ,2,2022-05-01
57,Jose Quintana,PIT,27.0,90.9,89.8, ,91.3,86.6, ,78.6, , , ,2,2022-05-01
58,Shane Bieber,CLE,24.1,90.9,87.2, , ,86.2,85.5,81.9, , , ,2,2022-05-01
59,Kyle Freeland,COL,33.2,90.2,85.3, ,89.5,84.9,79.9, , , , ,2,2022-05-01
60,Tyler Anderson,LAD,32.0,90.1,84.8, ,89.1,79.1, ,73.7, , , ,2,2022-05-01
