#,Name,Team,IP,vFA,vFC,vFS,vSI,vCH,vSL,vCU,vCS,vKN,vSB,Year,YearDate
1,Jordan Hicks,STL,10.0,101.2, , ,99.9,90.9,87.6, , , , ,2021.0,2021-01-01
2,Emmanuel Clase,CLE,69.2,100.4, , , , ,92.1, , , , ,2021.0,2021-01-01
3,Andres Munoz,SEA,0.2,99.8, , , , ,82.3, , , , ,2021.0,2021-01-01
4,Anthony Gose,CLE,6.2,99.5, , , , ,84.9, , , , ,2021.0,2021-01-01
5,Brusdar Graterol,LAD,33.1,99.5,95.5, ,100.0, ,88.2, , , , ,2021.0,2021-01-01
6,Javy Guerra,SDP,3.2,99.4, , ,98.3, ,89.2, , , , ,2021.0,2021-01-01
7,Nicklaus Snyder,TEX,3.2,99.1, , , , ,86.0, , , , ,2021.0,2021-01-01
8,Jacob deGrom,NYM,92.0,99.1, , , ,91.2,91.5,82.9, , , ,2021.0,2021-01-01
9,Julian Fernandez,COL,6.2,99.0, , , ,89.3, , , , , ,2021.0,2021-01-01
10,Edwin Diaz,NYM,62.2,98.9, , , , ,90.7, , , , ,2021.0,2021-01-01
11,Dustin May,LAD,23.0,98.8,93.4, ,98.2, , ,86.9, , , ,2021.0,2021-01-01
12,Sam Coonrod,PHI,42.1,98.8,93.5, ,97.9,90.6,89.4, , , , ,2021.0,2021-01-01
13,Luis Garcia,STL,33.1,98.7, ,89.0,98.6, ,86.4, , , , ,2021.0,2021-01-01
14,Jose Alvarado,PHI,55.2,98.5, , ,99.4, ,94.2,87.2, , , ,2021.0,2021-01-01
15,Gregory Soto,DET,63.2,98.4, , ,98.3, ,88.5, , , , ,2021.0,2021-01-01
16,Aroldis Chapman,NYY,56.1,98.4, ,88.5,100.7, ,85.2, , , , ,2021.0,2021-01-01
17,Dylan Coleman,KCR,6.1,98.3, , , , ,84.8, , , , ,2021.0,2021-01-01
18,Gregory Santos,SFG,2.0,98.2, , , , ,90.2, , , , ,2021.0,2021-01-01
19,Jonathan Loaisiga,NYY,70.2,98.1, , ,98.4,90.2,87.2,83.0, , , ,2021.0,2021-01-01
20,Sandy Alcantara,MIA,205.2,98.1, , ,97.5,91.8,90.4,83.8, , , ,2021.0,2021-01-01
21,Joe Kelly,LAD,44.0,98.1, , ,97.6,86.9, ,87.2, , , ,2021.0,2021-01-01
22,Genesis Cabrera,STL,70.0,97.9, , ,98.0,89.9, ,81.2, , , ,2021.0,2021-01-01
23,Junior Fernandez,STL,20.2,97.8, , , ,89.6,88.7, , , , ,2021.0,2021-01-01
24,Albert Abreu,NYY,36.2,97.8, , ,98.0,88.3,87.3,81.8, , , ,2021.0,2021-01-01
25,Gerrit Cole,NYY,181.1,97.8, , ,97.5,89.9,88.5,83.5, , , ,2021.0,2021-01-01
26,Liam Hendriks,CHW,71.0,97.8, , ,97.9, ,89.0,85.8, , , ,2021.0,2021-01-01
27,Spencer Strider,ATL,2.1,97.7, , , , ,85.3, , , , ,2021.0,2021-01-01
28,Ryne Stanek,HOU,68.1,97.7, ,88.1, , ,87.2, , , , ,2021.0,2021-01-01
29,Pete Fairbanks,TBR,42.2,97.7,95.9, , ,94.2,85.9, , , , ,2021.0,2021-01-01
30,Domingo Tapia,- - -,33.2,97.7, , ,97.3,89.3,88.1, , , , ,2021.0,2021-01-01
31,Nate Pearson,TOR,15.0,97.7, , , ,83.2,86.9,74.2, , , ,2021.0,2021-01-01
32,Blake Treinen,LAD,72.1,97.7,93.3, ,97.5,89.9,86.5, , , , ,2021.0,2021-01-01
33,Ryan Helsley,STL,47.1,97.7, , ,97.7,88.0,88.5,79.3, , , ,2021.0,2021-01-01
34,Daniel Bard,COL,65.2,97.6, , ,97.4,90.1,87.2, , , , ,2021.0,2021-01-01
35,Jorge Alcala,MIN,59.2,97.5, , ,97.2,90.1,89.8, , , , ,2021.0,2021-01-01
36,Julian Merryweather,TOR,13.0,97.5, , , ,81.9,88.4,80.0, , , ,2021.0,2021-01-01
37,Jordan Romano,TOR,63.0,97.5, , , , ,88.4, , , , ,2021.0,2021-01-01
38,Michael Kopech,CHW,69.1,97.4, , , ,90.0,84.2,79.3, , , ,2021.0,2021-01-01
39,Anthony Bender,MIA,61.1,97.4, , ,96.9,90.3,84.6, , , , ,2021.0,2021-01-01
40,Andrew Kittredge,TBR,71.2,97.4,94.9, ,95.7,90.3,89.2, , , , ,2021.0,2021-01-01
41,James Norwood,SDP,5.0,97.3, ,87.3,98.7, ,87.3, , , , ,2021.0,2021-01-01
42,Zack Wheeler,PHI,213.1,97.3, ,90.5,96.8,90.8,91.7,81.6, , , ,2021.0,2021-01-01
43,Drew Rasmussen,- - -,76.0,97.3, , , ,90.4,86.7,80.6, , , ,2021.0,2021-01-01
44,Tyler Glasnow,TBR,88.0,97.3, , , ,91.7,87.8,83.8, , , ,2021.0,2021-01-01
45,Jeurys Familia,NYM,59.1,97.3, ,92.1,96.6, ,89.3, , , , ,2021.0,2021-01-01
46,Luis Castillo,CIN,187.2,97.3, , ,97.5,88.5,86.5, , , , ,2021.0,2021-01-01
47,Aaron Ashby,MIL,31.2,97.3, , ,96.5,88.9,83.8,78.7, , , ,2021.0,2021-01-01
48,Carlos Hernandez,KCR,85.2,97.2, ,86.6, , ,85.4,81.8, , , ,2021.0,2021-01-01
49,Manuel Rodriguez,CHC,17.2,97.2, , ,97.3, ,87.7, , , , ,2021.0,2021-01-01
50,Carlos Estevez,COL,61.2,97.2, , , ,88.8,86.8, , , , ,2021.0,2021-01-01
51,Jose Ruiz,CHW,65.0,97.1, , , ,89.6,90.6,85.6, , , ,2021.0,2021-01-01
52,Stephen Ridings,NYY,5.0,97.1, , , , ,85.8, , , , ,2021.0,2021-01-01
53,Tejay Antone,CIN,33.2,97.1, , , , ,84.0,79.7, , , ,2021.0,2021-01-01
54,Nathan Eovaldi,BOS,182.1,97.1,92.7,88.2, , ,86.0,78.8, , , ,2021.0,2021-01-01
55,Shane Baz,TBR,13.1,97.1, , ,96.4,88.9,86.7,82.7, , , ,2021.0,2021-01-01
56,Yacksel Rios,- - -,27.1,97.1, ,86.6,97.4,89.3,86.5, , , , ,2021.0,2021-01-01
57,Daniel Hudson,- - -,51.2,97.1, , , ,88.0,88.2, , , , ,2021.0,2021-01-01
58,Josh Sborz,TEX,59.0,97.0, , , , ,88.3,83.5, , , ,2021.0,2021-01-01
59,Jake Brentz,KCR,64.0,97.0, , , ,91.0,85.2, , , , ,2021.0,2021-01-01
