#,Name,Team,IP,vFA,vFC,vFS,vSI,vCH,vSL,vCU,vCS,vKN,vSB,MonthSeason,MonthYear
1,Sandy Alcantara,MIA,43.0,98.4, , ,98.2,91.8,90.8, , , , ,6,2022-09-01
2,Gerrit Cole,NYY,36.0,97.9, , , ,89.9,89.2,83.3, , , ,6,2022-09-01
3,Luis Castillo,SEA,33.2,97.6,95.9, ,97.3,89.0,86.4, , , , ,6,2022-09-01
4,Shohei Ohtani,LAA,38.0,97.3,91.3,88.5,97.2, ,85.5,74.8, , , ,6,2022-09-01
5,Brayan Bello,BOS,31.1,96.9, , ,96.4,88.3,84.6,80.7, , , ,6,2022-09-01
6,Logan Gilbert,SEA,36.0,96.7, , ,95.0,85.8,85.7,79.8, , , ,6,2022-09-01
7,Dylan Cease,CHW,37.0,96.5, ,79.0, , ,88.0,81.7, , , ,6,2022-09-01
8,Brandon Woodruff,MIL,44.2,96.4, , ,96.0,86.0,87.5,84.2, , , ,6,2022-09-01
9,Corbin Burnes,MIL,43.2,96.3,95.3, ,96.5,90.4,89.0,81.3, , , ,6,2022-09-01
10,Jesus Luzardo,MIA,35.0,96.2, , ,95.9,88.0,83.9, , , , ,6,2022-09-01
11,Blake Snell,SDP,35.0,96.0, , , ,87.4,88.8,82.2, , , ,6,2022-09-01
12,Alex Cobb,SFG,38.2,95.7, ,89.4,94.6, , ,83.5, , , ,6,2022-09-01
13,Jose Urena,COL,33.1,95.6, , ,95.3,89.7,86.2, , , , ,6,2022-09-01
14,Mitch Keller,PIT,35.0,95.5, , ,94.5,90.8,83.2,78.6, , , ,6,2022-09-01
15,German Marquez,COL,35.0,95.3, , ,95.0,87.9,88.4,85.8, , , ,6,2022-09-01
16,Kevin Gausman,TOR,34.1,95.3, ,85.7, , ,85.1, , , , ,6,2022-09-01
17,Pablo Lopez,MIA,34.0,95.0,90.7, ,94.8,88.6, ,81.7, , , ,6,2022-09-01
18,Framber Valdez,HOU,37.1,94.6, , ,93.9,88.1,82.3,79.0, , , ,6,2022-09-01
19,Charlie Morton,ATL,31.2,94.6, , ,94.4,87.2,88.1,81.9, , , ,6,2022-09-01
20,Nick Lodolo,CIN,36.1,94.6, , ,94.2,89.0, ,81.1, , , ,6,2022-09-01
21,Yu Darvish,SDP,39.0,94.3,90.0,88.7,93.7,87.8,84.4,78.0,71.4, , ,6,2022-09-01
22,Cal Quantrill,CLE,37.1,94.3,88.9, ,94.2,85.8, ,83.4, , , ,6,2022-09-01
23,Zac Gallen,ARI,38.1,94.1,90.1, , ,85.4, ,82.5, , , ,6,2022-09-01
24,Ken Waldichuk,OAK,34.2,94.1, , , ,82.4,81.0,75.2, , , ,6,2022-09-01
25,Jameson Taillon,NYY,36.2,94.0,91.0, ,94.2,88.0,86.2,81.3, , , ,6,2022-09-01
26,Nick Pivetta,BOS,32.1,93.9, ,87.1, , ,86.4,77.2, , , ,6,2022-09-01
27,Dean Kremer,BAL,42.0,93.9,89.0, ,91.4,83.6, ,77.3, , , ,6,2022-09-01
28,Taijuan Walker,NYM,34.2,93.7,88.8,88.7,92.7, ,85.0,75.6, , , ,6,2022-09-01
29,Jordan Montgomery,STL,33.0,93.5,87.9, ,93.2,83.1, ,80.4, , , ,6,2022-09-01
30,Alek Manoah,TOR,41.0,93.5, , ,93.2,86.0,81.3, , , , ,6,2022-09-01
