#,Name,Team,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,SD,MD,MonthSeason,MonthYear
31,Merrill Kelly,ARI,0.48,-2.53,3.01,4.22,0.45,1.21,1.12,0.87,1.74,5,0.51,-0.11,0,0,5,8
32,Cal Quantrill,CLE,0.48,-1.55,2.03,9.23,0.97,0.81,0.75,0.88,0.56,6,1.19,-0.60,0,0,5,8
33,Jose Urquidy,HOU,0.46,-1.76,2.22,5.10,0.54,0.88,0.92,0.88,1.03,5,0.23,0.29,0,0,5,8
34,Brady Singer,KCR,0.45,-2.40,2.85,4.89,0.49,1.01,0.93,0.87,1.36,6,0.48,-0.03,0,0,5,8
35,Noah Syndergaard,PHI,0.42,-2.37,2.78,0.57,0.06,1.01,0.96,0.87,1.15,4,0.11,0.30,0,0,5,8
36,Alex Cobb,SFG,0.38,-1.85,2.23,5.19,0.54,1.02,0.96,0.88,1.07,5,0.48,-0.11,0,0,5,8
37,Brandon Woodruff,MIL,0.37,-1.98,2.35,5.30,0.54,0.99,1.02,0.87,1.70,5,0.28,0.09,0,0,5,8
38,German Marquez,COL,0.36,-2.30,2.67,3.38,0.38,1.06,0.99,0.87,1.23,5,0.38,-0.03,0,0,5,8
39,Yu Darvish,SDP,0.36,-2.23,2.59,2.99,0.32,1.01,1.09,0.87,2.07,5,0.07,0.29,0,0,5,8
40,Cristian Javier,HOU,0.35,-1.84,2.19,6.20,0.65,0.89,0.95,0.96,0.85,6,0.46,-0.07,0,1,5,8
41,Jordan Lyles,BAL,0.34,-2.58,2.92,2.86,0.29,1.08,0.90,0.87,0.85,6,0.02,0.29,0,0,5,8
42,Eric Lauer,MIL,0.33,-1.79,2.12,4.62,0.48,0.90,0.83,0.87,0.77,5,0.27,0.09,0,0,5,8
43,Aaron Nola,PHI,0.30,-1.57,1.87,0.56,0.09,0.75,0.76,0.87,0.22,3,0.19,0.20,0,0,5,8
44,Matt Manning,DET,0.26,-2.35,2.61,1.15,0.12,1.08,0.97,0.87,0.95,6,-0.08,0.33,0,0,5,8
45,Jesus Luzardo,MIA,0.24,-2.37,2.61,3.65,0.38,1.02,0.94,0.87,0.90,6,0.73,-0.49,0,0,5,8
46,Dylan Cease,CHW,0.22,-1.86,2.08,3.28,0.34,0.91,0.99,0.88,1.24,5,0.40,-0.16,0,0,5,8
47,Triston McKenzie,CLE,0.21,-2.41,2.62,3.96,0.42,0.91,0.93,0.89,1.05,6,0.98,-0.74,0,0,5,8
48,Zach Davies,ARI,0.21,-2.07,2.29,3.44,0.35,1.07,1.03,0.87,1.06,6,0.21,-0.02,0,0,5,8
49,Tommy Henry,ARI,0.20,-1.76,1.96,0.03,0.00,0.80,0.79,0.88,0.76,6,0.05,0.21,0,0,5,8
50,Kyle Gibson,PHI,0.18,-1.77,1.94,5.16,0.52,0.79,0.71,0.87,0.46,5,0.32,-0.10,0,0,5,8
51,Jeffrey Springs,TBR,0.13,-1.78,1.91,1.91,0.23,0.96,0.86,0.86,1.32,5,0.53,-0.40,0,0,5,8
52,Gerrit Cole,NYY,0.12,-2.31,2.42,2.75,0.32,0.88,0.91,0.87,0.97,6,0.75,-0.62,0,0,5,8
53,Johnny Cueto,CHW,0.11,-2.73,2.84,2.01,0.21,1.11,0.92,0.87,1.14,4,0.31,-0.22,0,0,5,8
54,Mike Clevinger,SDP,0.11,-2.20,2.30,0.45,0.04,0.95,0.85,0.81,0.88,6,-0.04,0.16,0,0,5,8
55,Tyler Anderson,LAD,0.09,-2.54,2.63,2.37,0.26,0.98,0.94,0.87,1.28,6,0.51,-0.42,0,0,5,8
56,Corey Kluber,TBR,0.09,-1.69,1.78,-1.34,-0.16,0.76,0.83,0.87,0.81,5,-0.17,0.29,0,0,5,8
57,Anibal Sanchez,WSN,0.08,-2.09,2.17,1.65,0.19,0.90,0.89,0.88,1.19,6,-0.23,0.32,0,0,5,8
58,Miles Mikolas,STL,0.05,-1.78,1.84,-7.16,-0.60,0.70,0.79,0.88,0.44,6,0.09,-0.01,0,0,5,8
59,Alek Manoah,TOR,0.02,-2.11,2.13,2.81,0.30,1.06,0.94,0.87,1.49,5,0.02,0.00,0,0,5,8
60,Logan Webb,SFG,-0.01,-3.01,3.00,-2.51,-0.27,1.14,0.97,0.87,0.64,6,-0.32,0.31,0,0,5,8
