#,Name,Team,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,SD,MD,MonthSeason,MonthYear
61,Lucas Giolito,CHW,-0.08,-1.98,1.90,-0.31,-0.04,0.93,0.89,0.87,1.40,5,-0.02,-0.07,0,0,4,2022-07-01
62,Gerrit Cole,NYY,-0.13,-2.65,2.52,0.97,0.12,0.88,0.89,0.88,0.95,6,0.38,-0.52,0,0,4,2022-07-01
63,Alek Manoah,TOR,-0.15,-2.23,2.08,1.52,0.13,0.93,0.89,0.87,0.65,5,0.20,-0.36,0,0,4,2022-07-01
64,Robbie Ray,SEA,-0.17,-1.96,1.79,-4.47,-0.49,0.94,0.96,0.87,0.89,5,-0.62,0.45,0,0,4,2022-07-01
65,Adrian Sampson,CHC,-0.20,-2.62,2.42,-0.74,-0.08,0.97,0.94,0.87,1.31,6,0.04,-0.25,0,0,4,2022-07-01
66,Sonny Gray,MIN,-0.29,-2.12,1.83,-2.78,-0.29,1.07,0.93,0.87,0.97,5,-0.24,-0.03,0,0,4,2022-07-01
67,Tyler Wells,BAL,-0.35,-2.37,2.02,-2.60,-0.26,0.99,0.96,0.87,1.14,5,-0.41,0.05,0,0,4,2022-07-01
68,Corey Kluber,TBR,-0.37,-2.58,2.21,-5.32,-0.60,0.99,0.85,0.88,0.82,6,-0.06,-0.31,0,0,4,2022-07-01
69,Dylan Bundy,MIN,-0.40,-1.88,1.48,-4.01,-0.41,0.87,0.92,0.89,1.70,5,-0.18,-0.28,0,0,4,2022-07-01
70,Marco Gonzales,SEA,-0.42,-2.40,1.99,-3.62,-0.39,0.86,0.75,0.87,0.65,5,-0.56,0.07,0,0,4,2022-07-01
71,Andre Pallante,STL,-0.42,-2.24,1.83,-4.74,-0.48,0.86,0.78,0.89,0.87,5,-0.25,-0.24,0,0,4,2022-07-01
72,Zach Thompson,PIT,-0.50,-2.34,1.84,-5.32,-0.54,0.91,0.80,0.87,0.47,5,-0.35,-0.20,0,0,4,2022-07-01
73,Jon Gray,TEX,-0.52,-2.26,1.74,0.74,0.07,0.81,0.76,0.87,0.45,5,0.20,-0.84,0,0,4,2022-07-01
74,Jordan Montgomery,NYY,-0.53,-2.55,2.02,-4.54,-0.52,0.95,0.90,0.88,1.29,6,-0.22,-0.35,0,0,4,2022-07-01
75,Sean Manaea,SDP,-0.54,-2.51,1.97,-7.48,-0.83,1.06,0.98,0.88,1.20,5,-0.53,0.01,0,0,4,2022-07-01
76,Aaron Ashby,MIL,-0.56,-2.70,2.14,-2.78,-0.29,1.11,0.96,0.89,1.11,6,-0.69,0.18,0,0,4,2022-07-01
77,Patrick Sandoval,LAA,-0.60,-2.17,1.56,-5.81,-0.61,0.87,0.78,0.87,0.64,5,-0.45,-0.24,0,0,4,2022-07-01
78,Lance Lynn,CHW,-0.73,-2.63,1.90,-9.05,-0.96,0.87,0.83,0.87,0.75,6,-0.36,-0.47,0,0,4,2022-07-01
79,Josiah Gray,WSN,-0.83,-2.42,1.59,-7.17,-0.73,0.85,0.86,0.88,0.75,5,-0.65,-0.32,0,0,4,2022-07-01
80,Glenn Otto,TEX,-1.10,-3.61,2.50,-6.56,-0.72,1.19,0.95,0.87,0.86,6,-0.66,-0.26,0,0,4,2022-07-01
