#,Name,Team,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,SD,MD,MonthSeason,MonthYear
1,Carlos Rodon,SFG,1.44,-1.62,3.06,11.74,1.22,1.08,1.06,0.89,1.47,6,1.18,0.15,0,0,3,2022-06-01
2,Sandy Alcantara,MIA,1.34,-2.83,4.17,10.95,1.17,1.17,1.15,0.87,1.68,5,1.14,0.01,0,0,3,2022-06-01
3,Max Fried,ATL,1.31,-1.59,2.90,9.87,0.91,1.10,1.07,0.88,2.30,5,1.13,0.06,0,0,3,2022-06-01
4,Tony Gonsolin,LAD,1.23,-1.32,2.55,10.45,1.09,1.09,1.08,0.89,1.26,5,0.86,0.27,0,0,3,2022-06-01
5,Shohei Ohtani,LAA,1.11,-1.35,2.46,8.88,0.95,1.10,1.01,0.87,0.60,5,0.61,0.41,0,0,3,2022-06-01
6,Dean Kremer,BAL,1.00,-1.18,2.18,8.12,0.88,0.94,0.89,0.88,1.39,5,0.72,0.34,0,0,3,2022-06-01
7,Alek Manoah,TOR,0.92,-2.13,3.04,8.23,0.84,1.03,0.89,0.87,0.55,6,0.90,-0.01,0,0,3,2022-06-01
8,Nick Pivetta,BOS,0.89,-2.26,3.15,10.30,1.07,1.03,0.96,0.87,1.21,6,0.83,0.04,0,0,3,2022-06-01
9,Tyler Mahle,CIN,0.89,-1.56,2.45,7.32,0.73,0.97,0.90,0.87,1.42,5,0.64,0.28,0,0,3,2022-06-01
10,Ross Stripling,TOR,0.89,-1.08,1.97,8.66,0.91,0.90,0.88,0.92,0.77,6,0.77,0.21,1,0,3,2022-06-01
11,Kyle Freeland,COL,0.87,-1.65,2.52,6.83,0.63,0.94,0.90,0.87,1.05,5,0.42,0.50,0,0,3,2022-06-01
12,Zach Plesac,CLE,0.82,-1.66,2.49,7.01,0.74,1.03,1.01,0.86,1.71,5,0.58,0.22,0,0,3,2022-06-01
13,Aaron Nola,PHI,0.82,-2.12,2.94,9.85,1.00,0.94,0.91,0.87,1.12,6,1.49,-0.62,0,0,3,2022-06-01
14,Shane McClanahan,TBR,0.82,-1.54,2.35,5.21,0.61,0.98,0.97,0.87,1.17,5,0.70,0.14,0,0,3,2022-06-01
15,Robbie Ray,SEA,0.79,-1.85,2.64,5.69,0.67,0.90,0.88,0.88,1.08,6,0.64,0.23,0,0,3,2022-06-01
16,Kyle Wright,ATL,0.76,-2.40,3.16,3.74,0.38,1.01,0.97,0.88,1.38,6,0.30,0.45,0,0,3,2022-06-01
17,Taijuan Walker,NYM,0.73,-2.14,2.86,6.69,0.73,1.03,0.96,0.88,1.17,6,0.86,-0.15,0,0,3,2022-06-01
18,Yu Darvish,SDP,0.72,-1.85,2.56,7.60,0.81,0.95,0.92,0.88,0.63,5,0.73,0.03,0,0,3,2022-06-01
19,Justin Verlander,HOU,0.70,-2.25,2.95,1.85,0.21,1.01,1.07,0.87,1.32,6,0.89,-0.20,0,0,3,2022-06-01
20,Marco Gonzales,SEA,0.66,-1.61,2.27,5.03,0.55,0.97,1.01,0.87,1.44,5,0.39,0.28,0,0,3,2022-06-01
21,Logan Webb,SFG,0.65,-1.74,2.39,7.00,0.73,1.02,0.90,0.87,1.39,5,0.68,-0.04,0,0,3,2022-06-01
22,Julio Urias,LAD,0.63,-1.23,1.87,6.45,0.67,0.86,0.82,0.89,1.01,5,0.70,0.04,0,0,3,2022-06-01
23,Jon Gray,TEX,0.61,-1.80,2.41,7.64,0.81,0.88,0.83,0.88,1.07,6,0.86,-0.17,0,0,3,2022-06-01
24,Gerrit Cole,NYY,0.59,-1.62,2.22,5.00,0.57,0.97,1.00,0.89,0.95,5,0.40,0.21,0,0,3,2022-06-01
25,Michael Wacha,BOS,0.57,-2.08,2.66,2.93,0.28,1.11,1.10,0.86,1.45,4,0.22,0.29,0,0,3,2022-06-01
26,Corbin Burnes,MIL,0.53,-1.61,2.14,2.44,0.25,0.95,0.87,0.88,1.15,5,0.08,0.47,0,0,3,2022-06-01
27,Tyler Wells,BAL,0.52,-0.97,1.49,5.62,0.59,0.72,0.76,0.89,0.71,5,0.07,0.64,0,0,3,2022-06-01
28,Luis Severino,NYY,0.49,-1.84,2.33,4.17,0.46,1.02,0.99,0.87,1.14,5,0.71,-0.23,0,0,3,2022-06-01
29,Zach Davies,ARI,0.48,-1.86,2.34,5.36,0.54,1.01,0.97,0.88,2.35,5,0.62,-0.15,0,0,3,2022-06-01
30,Dylan Cease,CHW,0.44,-1.91,2.34,4.07,0.44,1.15,0.99,0.87,1.26,5,0.51,-0.13,0,0,3,2022-06-01
