#,Name,Team,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,SD,MD,MonthSeason,MonthYear
31,Joe Musgrove,SDP,0.36,-1.07,1.43,2.82,0.33,0.72,0.78,0.87,1.14,4,0.26,0.24,0,0,1,2022-04-01
32,Dane Dunning,TEX,0.26,-1.87,2.13,2.25,0.24,1.04,1.01,0.87,1.48,5,0.06,0.19,0,0,1,2022-04-01
33,Jesus Luzardo,MIA,0.21,-1.21,1.42,1.71,0.17,0.95,0.91,0.87,1.15,4,0.19,0.02,0,0,1,2022-04-01
34,Kyle Gibson,PHI,0.20,-1.89,2.09,2.65,0.23,1.03,1.00,0.89,1.28,5,0.46,-0.27,0,0,1,2022-04-01
35,Zack Greinke,KCR,0.19,-1.41,1.59,3.10,0.32,1.02,0.90,0.87,1.77,4,0.34,-0.16,0,0,1,2022-04-01
36,Dylan Bundy,MIN,0.18,-0.99,1.17,1.87,0.17,0.71,0.72,0.88,0.73,4,0.22,0.04,0,0,1,2022-04-01
37,Chris Flexen,SEA,0.17,-1.48,1.65,2.56,0.30,0.91,0.90,0.89,0.86,4,0.30,-0.11,0,0,1,2022-04-01
38,Jose Berrios,TOR,0.13,-2.16,2.30,1.12,0.13,1.19,1.02,0.88,1.99,5,-0.30,0.42,0,0,1,2022-04-01
39,Gerrit Cole,NYY,0.10,-1.40,1.50,2.56,0.27,0.86,0.78,0.88,1.56,5,0.20,-0.08,0,0,1,2022-04-01
40,Carlos Carrasco,NYM,0.08,-1.59,1.68,0.89,0.09,1.09,0.91,0.87,0.87,4,0.26,-0.18,0,0,1,2022-04-01
41,Martin Perez,TEX,0.08,-1.51,1.60,1.13,0.14,1.05,1.02,0.87,1.43,4,0.41,-0.33,0,0,1,2022-04-01
42,Austin Gomber,COL,0.08,-1.25,1.34,1.11,0.18,0.83,0.82,0.90,1.20,4,-0.11,0.21,0,0,1,2022-04-01
43,Zach Plesac,CLE,0.08,-1.34,1.42,0.04,-0.01,0.94,0.92,0.88,0.90,4,0.22,-0.14,0,0,1,2022-04-01
44,Robbie Ray,SEA,0.08,-2.32,2.40,-0.19,-0.01,1.07,0.99,0.89,1.21,5,-0.14,0.22,0,0,1,2022-04-01
45,Frankie Montas,OAK,0.06,-2.30,2.37,-0.22,0.00,1.07,1.00,0.87,1.80,5,0.15,-0.09,0,0,1,2022-04-01
46,Shane McClanahan,TBR,0.06,-1.89,1.95,1.57,0.18,1.02,0.94,0.87,0.98,5,0.21,-0.15,0,0,1,2022-04-01
47,Luis Garcia,HOU,0.02,-1.57,1.59,0.35,0.00,0.96,0.93,0.87,1.08,4,0.03,-0.01,0,0,1,2022-04-01
48,Cal Quantrill,CLE,-0.07,-1.26,1.19,1.44,0.15,0.81,0.79,0.76,1.54,4,0.38,-0.47,0,0,1,2022-04-01
49,Adam Wainwright,STL,-0.13,-1.77,1.64,-0.37,0.00,0.82,0.69,0.87,0.44,5,-0.24,0.09,0,0,1,2022-04-01
50,Tyler Mahle,CIN,-0.14,-1.92,1.78,-3.82,-0.41,1.04,0.95,0.87,1.19,5,-0.05,-0.08,0,0,1,2022-04-01
51,German Marquez,COL,-0.17,-1.82,1.65,-3.56,-0.38,0.97,0.97,0.87,1.77,4,-0.38,0.20,0,0,1,2022-04-01
52,Tarik Skubal,DET,-0.32,-1.45,1.13,-2.37,-0.28,0.84,0.76,0.87,0.45,4,0.08,-0.45,0,0,1,2022-04-01
53,Kyle Hendricks,CHC,-0.53,-2.07,1.55,-3.75,-0.39,0.88,0.69,0.88,0.95,5,-0.40,-0.20,0,0,1,2022-04-01
54,Elieser Hernandez,MIA,-0.56,-1.57,1.00,-3.39,-0.34,0.70,0.66,0.88,0.33,4,-0.47,-0.34,0,0,1,2022-04-01
55,Joan Adon,WSN,-0.72,-2.48,1.76,-6.43,-0.66,1.07,0.99,0.86,1.58,5,-0.38,-0.30,0,0,1,2022-04-01
