#,Name,Team,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,SD,MD,MonthSeason,MonthYear
1,Alek Manoah,TOR,1.56,-1.76,3.32,14.89,1.60,1.00,1.03,0.87,1.13,6,1.35,0.21,0,0,6,2022-09-01
2,Clayton Kershaw,LAD,1.34,-1.36,2.70,12.38,1.31,0.84,0.88,0.87,0.85,7,1.32,0.27,0,0,6,2022-09-01
3,Jose Quintana,STL,1.26,-1.08,2.34,12.78,1.36,0.91,0.90,0.87,1.02,6,1.24,0.15,0,0,6,2022-09-01
4,Brandon Woodruff,MIL,1.12,-1.99,3.12,11.39,1.10,0.85,0.87,0.87,0.74,7,0.89,0.42,0,0,6,2022-09-01
5,Yu Darvish,SDP,1.00,-1.95,2.95,10.03,1.04,0.99,1.03,0.88,1.09,6,0.84,0.16,0,0,6,2022-09-01
6,Shohei Ohtani,LAA,0.99,-1.66,2.65,11.30,1.18,0.99,0.99,0.88,1.48,6,1.31,-0.31,0,0,6,2022-09-01
7,Nick Lodolo,CIN,0.97,-1.97,2.95,9.49,0.93,1.00,0.97,0.82,0.97,6,0.70,0.27,0,0,6,2022-09-01
8,Logan Gilbert,SEA,0.96,-1.75,2.71,8.40,0.95,0.98,0.95,0.90,1.08,6,0.66,0.33,0,0,6,2022-09-01
9,Adrian Sampson,CHC,0.94,-1.90,2.83,10.33,1.11,0.88,0.87,0.87,0.84,7,0.89,0.17,0,0,6,2022-09-01
10,Zac Gallen,ARI,0.93,-1.94,2.87,8.35,0.86,0.98,1.03,0.88,1.24,6,0.73,0.23,0,0,6,2022-09-01
11,Shane Bieber,CLE,0.86,-2.23,3.09,7.99,0.84,0.81,0.91,0.88,1.26,7,0.81,0.25,0,0,6,2022-09-01
12,Marcus Stroman,CHC,0.86,-2.00,2.85,8.58,0.92,0.96,0.96,0.87,1.22,6,0.48,0.41,0,0,6,2022-09-01
13,Blake Snell,SDP,0.85,-1.75,2.60,7.59,0.82,0.95,0.97,0.88,0.92,6,0.74,0.15,0,0,6,2022-09-01
14,Julio Urias,LAD,0.82,-1.59,2.41,8.06,0.87,0.90,0.84,0.87,0.88,6,0.10,0.81,0,0,6,2022-09-01
15,Mitch Keller,PIT,0.80,-2.25,3.04,7.97,0.82,1.13,0.98,0.87,0.99,6,0.43,0.28,0,0,6,2022-09-01
16,Corbin Burnes,MIL,0.78,-2.32,3.10,5.47,0.56,0.92,0.99,0.87,1.36,7,0.85,0.00,0,0,6,2022-09-01
17,Miles Mikolas,STL,0.74,-1.72,2.47,5.92,0.64,0.93,0.95,0.91,0.87,6,0.41,0.39,1,0,6,2022-09-01
18,Jeffrey Springs,TBR,0.74,-2.06,2.79,7.14,0.77,1.10,0.97,0.89,1.41,7,0.60,0.06,0,0,6,2022-09-01
19,Jesus Luzardo,MIA,0.62,-1.76,2.38,4.95,0.52,0.91,0.87,0.87,1.19,6,0.48,0.21,0,0,6,2022-09-01
20,Aaron Nola,PHI,0.60,-1.62,2.22,7.63,0.79,0.89,0.93,0.88,1.22,6,1.09,-0.41,0,0,6,2022-09-01
21,Triston McKenzie,CLE,0.60,-1.75,2.36,8.40,0.90,0.81,0.79,0.88,1.07,6,1.01,-0.26,0,0,6,2022-09-01
22,Joe Musgrove,SDP,0.55,-2.21,2.77,3.98,0.42,1.12,1.01,0.87,1.27,6,-0.16,0.65,0,0,6,2022-09-01
23,Ross Stripling,TOR,0.54,-1.47,2.02,3.45,0.39,0.80,0.86,0.87,1.27,6,0.63,0.05,0,0,6,2022-09-01
24,Hayden Wesneski,CHC,0.52,-1.88,2.40,7.15,0.73,0.99,0.99,0.92,1.12,5,0.75,-0.22,1,1,6,2022-09-01
25,Dylan Cease,CHW,0.51,-1.85,2.36,9.25,0.99,0.84,0.72,0.89,0.87,5,0.81,-0.20,0,0,6,2022-09-01
26,Sandy Alcantara,MIA,0.49,-3.11,3.60,5.02,0.55,1.13,1.09,0.87,0.60,4,0.25,0.18,0,0,6,2022-09-01
27,Kyle Freeland,COL,0.43,-2.28,2.71,3.98,0.44,1.01,0.92,0.87,1.47,6,0.18,0.25,0,0,6,2022-09-01
28,Pablo Lopez,MIA,0.42,-2.16,2.59,2.88,0.30,0.98,1.00,0.88,1.39,6,0.36,0.08,0,0,6,2022-09-01
29,Lance McCullers Jr.,HOU,0.40,-2.13,2.54,5.50,0.60,1.12,1.04,0.88,1.56,5,0.54,-0.18,0,0,6,2022-09-01
30,Lance Lynn,CHW,0.38,-2.13,2.51,1.51,0.19,0.89,0.77,0.87,0.77,6,0.21,0.22,0,0,6,2022-09-01
