Name,Team,MonthSeason,MonthYear,New team
A.J. Alexy,TEX,7,9/1/2022,No
A.J. Ladwig,MIA,6,8/1/2022,No
A.J. Minter,ATL,7,9/1/2022,No
A.J. Puk,OAK,7,9/1/2022,No
Aaron Ashby,MIL,7,9/1/2022,No
Aaron Brooks,STL,2,4/1/2022,No
Aaron Bummer,CHW,7,9/1/2022,No
Aaron Civale,CLE,7,9/1/2022,No
Aaron Fletcher,PIT,5,7/1/2022,No
Aaron Loup,LAA,7,9/1/2022,No
Aaron Nola,PHI,7,9/1/2022,No
Aaron Sanchez,MIN,7,9/1/2022,Yes
Albert Abreu,NYY,7,9/1/2022,Yes
Alex Young,SFG,7,9/1/2022,Yes
Andrew Vasquez,SFG,7,9/1/2022,Yes
Anthony Banda,NYY,7,9/1/2022,Yes
Anthony Bass,TOR,7,9/1/2022,Yes
Anthony Misiewicz,KCR,7,9/1/2022,Yes
Austin Davis,MIN,7,9/1/2022,Yes
Austin Voth,BAL,7,9/1/2022,Yes
Beau Sulser,BAL,7,9/1/2022,Yes
Chi Chi Gonzalez,NYY,7,9/1/2022,Yes
Chris Devenski,PHI,7,9/1/2022,Yes
Chris Martin,LAD,7,9/1/2022,Yes
Chris Stratton,STL,7,9/1/2022,Yes
Christian Bethancourt,TBR,7,9/1/2022,Yes
Colin Holderman,PIT,5,9/1/2022,Yes
Dallas Keuchel,TEX,7,9/1/2022,Yes
Daniel Norris,DET,7,9/1/2022,Yes
Danny Young,ATL,3,8/1/2022,Yes
David McKay,NYY,3,5/1/2022,Yes
David Robertson,PHI,7,9/1/2022,Yes
Derek Law,CIN,7,9/1/2022,Yes
Diego Castillo,SEA,7,9/1/2022,Yes
Dinelson Lamet,COL,7,9/1/2022,Yes
Eric Stout,PIT,7,9/1/2022,Yes
Foster Griffin,TOR,7,9/1/2022,Yes
Frankie Montas,NYY,7,9/1/2022,Yes
Garrett Cleavinger,TBR,7,9/1/2022,Yes
Heath Hembree,LAD,7,9/1/2022,Yes
Ian Gibaut,CIN,7,9/1/2022,Yes
Jacob Barnes,NYY,7,9/1/2022,Yes
Jake Diekman,CHW,7,9/1/2022,Yes
Jake McGee,WSN,7,9/1/2022,Yes
Jake Odorizzi,ATL,7,9/1/2022,Yes
Jake Reed,BAL,7,9/1/2022,Yes
Javy Guerra,TBR,7,9/1/2022,Yes
Jesse Chavez,ATL,7,9/1/2022,Yes
Jeurys Familia,BOS,7,9/1/2022,Yes
Jharel Cotton,SFG,7,9/1/2022,Yes
Jimmy Yacabonis,TBR,7,9/1/2022,Yes
Joel Payamps,OAK,7,9/1/2022,Yes
Johan Oviedo,PIT,7,9/1/2022,Yes
JoJo Romero,STL,7,9/1/2022,Yes
Jordan Montgomery,STL,7,9/1/2022,Yes
Jorge Lopez,MIN,7,9/1/2022,Yes
Jose Quintana,STL,7,9/1/2022,Yes
Jose Urena,COL,7,9/1/2022,Yes
Josh Hader,SDP,7,9/1/2022,Yes
JP Sears,OAK,7,9/1/2022,Yes
Junior Fernandez,PIT,7,9/1/2022,Yes
Kervin Castro,CHC,6,8/1/2022,Yes
Logan Allen,BAL,3,5/1/2022,Yes
Lou Trivino,NYY,7,9/1/2022,Yes
Louis Head,BAL,6,8/1/2022,Yes
Luis Castillo,SEA,7,9/1/2022,Yes
Luis Garcia,SDP,7,9/1/2022,Yes
Luis Ortiz,PIT,7,9/1/2022,Yes
Luke Bard,NYY,6,8/1/2022,Yes
Luke Farrell,CIN,7,9/1/2022,Yes
Luke Weaver,KCR,7,9/1/2022,Yes
Manny Banuelos,PIT,7,9/1/2022,Yes
Matt Bush,MIL,7,9/1/2022,Yes
Matt Peacock,KCR,4,6/1/2022,Yes
Max Castillo,KCR,7,9/1/2022,Yes
Michael Fulmer,MIN,7,9/1/2022,Yes
Mitch White,TOR,7,9/1/2022,Yes
Mychal Givens,NYM,7,9/1/2022,Yes
Noah Syndergaard,PHI,7,9/1/2022,Yes
Paul Fry,ARI,4,6/1/2022,Yes
Raisel Iglesias,ATL,7,9/1/2022,Yes
Reyes Moronta,ARI,7,9/1/2022,Yes
Rob Zastryzny,LAA,7,9/1/2022,Yes
Robert Dugger,CIN,6,8/1/2022,Yes
Robert Stephenson,PIT,7,9/1/2022,Yes
Ryan Borucki,SEA,6,8/1/2022,Yes
Sam Clay,NYM,6,8/1/2022,Yes
Scott Effross,NYY,7,9/1/2022,Yes
Sean Newcomb,CHC,7,9/1/2022,Yes
Sergio Romo,TOR,5,7/1/2022,Yes
Shane Greene,NYY,5,7/1/2022,Yes
Shawn Armstrong,TBR,7,9/1/2022,Yes
Taylor Rogers,MIL,7,9/1/2022,Yes
Thomas Szapucki,SFG,7,9/1/2022,Yes
Tommy Romero,WSN,7,9/1/2022,Yes
Tucker Davidson,LAA,7,9/1/2022,Yes
Tyler Beede,PIT,7,9/1/2022,Yes
Tyler Cyr,OAK,7,9/1/2022,Yes
Tyler Mahle,MIN,7,9/1/2022,Yes
Tyler Thornburg,MIN,4,6/1/2022,Yes
Will Smith,HOU,7,9/1/2022,Yes
Wyatt Mills,KCR,7,9/1/2022,Yes
Yennier Cano,BAL,7,9/1/2022,Yes
Yohan Ramirez,PIT,7,9/1/2022,Yes
Zach Pop,TOR,7,9/1/2022,Yes
Adam Cimber,TOR,7,9/1/2022,No
Adam Kolarek,OAK,3,5/1/2022,No
Adam Oller,OAK,7,9/1/2022,No
Adam Ottavino,NYM,7,9/1/2022,No
Adam Wainwright,STL,7,9/1/2022,No
Adbert Alzolay,CHC,7,9/1/2022,No
Adonis Medina,NYM,7,9/1/2022,No
Adrian Houser,MIL,7,9/1/2022,No
Adrian Martinez,OAK,7,9/1/2022,No
Adrian Morejon,SDP,7,9/1/2022,No
Adrian Sampson,CHC,7,9/1/2022,No
Albert Pujols,STL,3,5/1/2022,No
Alcides Escobar,WSN,5,7/1/2022,No
Alec Mills,CHC,5,7/1/2022,No
Alejo Lopez,CIN,7,9/1/2022,No
Alek Manoah,TOR,7,9/1/2022,No
Alex Claudio,NYM,7,9/1/2022,No
Alex Cobb,SFG,7,9/1/2022,No
Alex Colome,COL,7,9/1/2022,No
Alex Faedo,DET,5,7/1/2022,No
Alex Lange,DET,7,9/1/2022,No
Alex Vesia,LAD,7,9/1/2022,No
Alex Wood,SFG,6,8/1/2022,No
Alexander Wells,BAL,2,4/1/2022,No
Alexis Diaz,CIN,7,9/1/2022,No
Amir Garrett,KCR,7,9/1/2022,No
Anderson Espinoza,CHC,6,8/1/2022,No
Anderson Severino,CHW,2,4/1/2022,No
Andre Jackson,LAD,7,9/1/2022,No
Andre Pallante,STL,7,9/1/2022,No
Andrelton Simmons,CHC,3,5/1/2022,No
Andres Machado,WSN,7,9/1/2022,No
Andres Munoz,SEA,7,9/1/2022,No
Andrew Bellatti,PHI,7,9/1/2022,No
Andrew Chafin,DET,7,9/1/2022,No
Andrew Heaney,LAD,7,9/1/2022,No
Andrew Kittredge,TBR,4,6/1/2022,No
Andrew Knizner,STL,6,8/1/2022,No
Andrew Nardi,MIA,7,9/1/2022,No
Andrew Wantz,LAA,7,9/1/2022,No
Aneurys Zabala,MIA,6,8/1/2022,No
Angel De Jesus,DET,7,9/1/2022,No
Angel Rondon,STL,3,5/1/2022,No
Angel Zerpa,KCR,5,7/1/2022,No
Anibal Sanchez,WSN,7,9/1/2022,No
Anthony Bender,MIA,6,8/1/2022,No
Anthony Castro,CLE,5,7/1/2022,No
Anthony DeSclafani,SFG,4,6/1/2022,No
Anthony Gose,CLE,5,7/1/2022,No
Anthony Kay,TOR,2,4/1/2022,No
Antonio Senzatela,COL,6,8/1/2022,No
Archie Bradley,LAA,4,6/1/2022,No
Arodys Vizcaino,KCR,4,6/1/2022,No
Aroldis Chapman,NYY,7,9/1/2022,No
Art Warren,CIN,7,9/1/2022,No
Ashton Goudeau,COL,3,5/1/2022,No
Austin Adams,SDP,2,4/1/2022,No
Austin Brice,PIT,6,8/1/2022,No
Austin Gomber,COL,7,9/1/2022,No
Austin Pruitt,OAK,7,9/1/2022,No
Austin Warren,LAA,5,7/1/2022,No
Austin Wynns,SFG,6,8/1/2022,No
Bailey Falter,PHI,7,9/1/2022,No
Bailey Ober,MIN,7,9/1/2022,No
Beau Brieske,DET,5,7/1/2022,No
Bennett Sousa,CHW,4,6/1/2022,No
Blake Snell,SDP,7,9/1/2022,No
Blake Taylor,HOU,4,6/1/2022,No
Blake Treinen,LAD,7,9/1/2022,No
Bowden Francis,TOR,2,4/1/2022,No
Brad Boxberger,MIL,7,9/1/2022,No
Brad Hand,PHI,7,9/1/2022,No
Brad Keller,KCR,7,9/1/2022,No
Brady Singer,KCR,7,9/1/2022,No
Brandon Bielak,HOU,7,9/1/2022,No
Brandon Hughes,CHC,7,9/1/2022,No
Brandon Woodruff,MIL,7,9/1/2022,No
Braxton Garrett,MIA,7,9/1/2022,No
Brayan Bello,BOS,7,9/1/2022,No
Brendon Little,CHC,6,8/1/2022,No
Brennan Bernardino,SEA,6,8/1/2022,No
Brent Suter,MIL,7,9/1/2022,No
Brett Martin,TEX,7,9/1/2022,No
Brett Phillips,TBR,5,7/1/2022,No
Brian Moran,LAA,2,4/1/2022,No
Brian Serven,COL,5,7/1/2022,No
Brock Burke,TEX,7,9/1/2022,No
Brooks Raley,TBR,7,9/1/2022,No
Bruce Zimmermann,BAL,7,9/1/2022,No
Brusdar Graterol,LAD,7,9/1/2022,No
Bryan Abreu,HOU,7,9/1/2022,No
Bryan Baker,BAL,7,9/1/2022,No
Bryan Garcia,DET,7,9/1/2022,No
Bryan Hoeing,MIA,7,9/1/2022,No
Bryan Shaw,CLE,7,9/1/2022,No
Bryce Elder,ATL,7,9/1/2022,No
Bryce Montes de Oca,NYM,7,9/1/2022,No
Bryse Wilson,PIT,7,9/1/2022,No
Bubby Rossman,PHI,5,7/1/2022,No
Buck Farmer,CIN,7,9/1/2022,No
Cade Cavalli,WSN,6,8/1/2022,No
Cal Quantrill,CLE,7,9/1/2022,No
Caleb Ferguson,LAD,7,9/1/2022,No
Caleb Kilian,CHC,4,6/1/2022,No
Caleb Smith,ARI,7,9/1/2022,No
Caleb Thielbar,MIN,7,9/1/2022,No
