#,Name,Team,MonthSeason,MonthYear
1,Sean Doolittle,WSN,2,4/1/2022
17,Austin Adams,SDP,2,4/1/2022
28,Ryan Castellani,OAK,2,4/1/2022
45,Jorge Alcala,MIN,2,4/1/2022
57,Bowden Francis,TOR,2,4/1/2022
64,Beau Sulser,PIT,2,4/1/2022
199,Tyler Beede,SFG,2,4/1/2022
205,Justin Wilson,CIN,2,4/1/2022
279,John Means,BAL,2,4/1/2022
287,Jose Urena,MIL,2,4/1/2022
298,Jhon Romero,MIN,2,4/1/2022
302,Jesse Chavez,- - -,2,4/1/2022
318,Spencer Patton,TEX,2,4/1/2022
351,Pedro Avila,SDP,2,4/1/2022
353,Anthony Kay,TOR,2,4/1/2022
361,Logan Allen,CLE,2,4/1/2022
375,Alexander Wells,BAL,2,4/1/2022
390,Casey Mize,DET,2,4/1/2022
399,Sean Reid-Foley,NYM,2,4/1/2022
439,Anderson Severino,CHW,2,4/1/2022
448,Patrick Murphy,WSN,2,4/1/2022
458,Matt Peacock,ARI,2,4/1/2022
464,Ronel Blanco,HOU,2,4/1/2022
473,Yohan Ramirez,SEA,2,4/1/2022
475,Aaron Brooks,STL,2,4/1/2022
476,Greg Holland,TEX,2,4/1/2022
481,Ethan Roberts,CHC,2,4/1/2022
483,Matt Koch,SEA,2,4/1/2022
485,Sean Newcomb,- - -,2,4/1/2022
495,Sam Howard,PIT,2,4/1/2022
499,Damon Jones,PHI,2,4/1/2022
505,Daniel Duarte,CIN,2,4/1/2022
507,Chris Ellis,BAL,2,4/1/2022
510,Shawn Armstrong,MIA,2,4/1/2022
513,Javy Guerra,- - -,2,4/1/2022
518,Pedro Baez,HOU,2,4/1/2022
520,Chris Mazza,TBR,2,4/1/2022
524,Locke St. John,CHC,2,4/1/2022
526,Huascar Ynoa,ATL,2,4/1/2022
530,Tayler Saucedo,TOR,2,4/1/2022
533,Oliver Perez,ARI,2,4/1/2022
538,Nicklaus Snyder,TEX,2,4/1/2022
541,Jake Brentz,KCR,2,4/1/2022
542,Dee Strange-Gordon,WSN,2,4/1/2022
543,Kervin Castro,SFG,2,4/1/2022
545,Brian Moran,LAA,2,4/1/2022
4,Shane Greene,LAD,3,5/1/2022
15,Kevin Plawecki,BOS,3,5/1/2022
19,Paul Fry,BAL,3,5/1/2022
27,Albert Abreu,TEX,3,5/1/2022
34,Conner Menez,CHC,3,5/1/2022
39,David McKay,NYY,3,5/1/2022
48,Riley O'Brien,SEA,3,5/1/2022
59,Angel Rondon,STL,3,5/1/2022
60,Max Kranick,PIT,3,5/1/2022
66,William Woods,ATL,3,5/1/2022
67,Cam Alldred,PIT,3,5/1/2022
119,Chad Green,NYY,3,5/1/2022
129,Marcos Diplan,BAL,3,5/1/2022
132,Justin Grimm,OAK,3,5/1/2022
143,Danny Coulombe,MIN,3,5/1/2022
226,Kyle Barraclough,LAA,3,5/1/2022
291,Adam Kolarek,OAK,3,5/1/2022
299,Cody Stashak,MIN,3,5/1/2022
333,Tucker Davidson,ATL,3,5/1/2022
364,Chris Paddack,MIN,3,5/1/2022
366,Robert Gsellman,CHC,3,5/1/2022
403,Wyatt Mills,SEA,3,5/1/2022
409,Ryan Burr,CHW,3,5/1/2022
410,Humberto Castellanos,ARI,3,5/1/2022
439,Tyler Thornburg,ATL,3,5/1/2022
449,Robert Dugger,- - -,3,5/1/2022
456,Beau Sulser,- - -,3,5/1/2022
460,Matt Reynolds,CIN,3,5/1/2022
471,Dallas Keuchel,CHW,3,5/1/2022
472,Danny Young,SEA,3,5/1/2022
482,Ashton Goudeau,COL,3,5/1/2022
486,Daulton Jefferies,OAK,3,5/1/2022
488,Drew Steckenrider,SEA,3,5/1/2022
493,Zac Lowther,BAL,3,5/1/2022
499,Cesar Valdez,LAA,3,5/1/2022
500,Chris Owings,BAL,3,5/1/2022
501,Robbie Erlin,LAD,3,5/1/2022
503,Luis Gil,NYY,3,5/1/2022
504,Aaron Sanchez,WSN,3,5/1/2022
506,Tyler Beede,- - -,3,5/1/2022
507,Phillip Diehl,CIN,3,5/1/2022
516,Jake Lemoine,OAK,3,5/1/2022
526,Logan Allen,BAL,3,5/1/2022
537,Travis Lakins Sr.,BAL,3,5/1/2022
538,Ryan Borucki,TOR,3,5/1/2022
541,Jake Walsh,STL,3,5/1/2022
543,Lucas Sims,CIN,3,5/1/2022
549,Cody Sedlock,BAL,3,5/1/2022
550,Austin Voth,WSN,3,5/1/2022
565,JC Mejia,MIL,3,5/1/2022
567,Chad Pinder,OAK,3,5/1/2022
572,Albert Pujols,STL,3,5/1/2022
575,Andrelton Simmons,CHC,3,5/1/2022
578,Thomas Szapucki,NYM,3,5/1/2022
6,Yadier Molina,STL,4,6/1/2022
7,Ehire Adrianza,WSN,4,6/1/2022
10,Christian Bethancourt,OAK,4,6/1/2022
11,Randal Grichuk,COL,4,6/1/2022
12,Parker Markel,OAK,4,6/1/2022
13,Jake Hager,ARI,4,6/1/2022
22,Jack Mayfield,LAA,4,6/1/2022
28,Sam Clay,WSN,4,6/1/2022
29,Blake Taylor,HOU,4,6/1/2022
32,J.P. Feyereisen,TBR,4,6/1/2022
33,Gabe Speier,KCR,4,6/1/2022
40,Ian Gibaut,CLE,4,6/1/2022
41,Anthony Misiewicz,SEA,4,6/1/2022
43,Tyler Kinley,COL,4,6/1/2022
49,Kenny Rosenberg,LAA,4,6/1/2022
64,Kyle Tyler,SDP,4,6/1/2022
142,Albert Abreu,- - -,4,6/1/2022
148,Manny Banuelos,NYY,4,6/1/2022
153,Daniel Hudson,LAD,4,6/1/2022
203,Tyler Thornburg,MIN,4,6/1/2022
216,Heath Hembree,PIT,4,6/1/2022
260,Archie Bradley,LAA,4,6/1/2022
266,Kyle Crick,CHW,4,6/1/2022
297,Roenis Elias,SEA,4,6/1/2022
325,Evan Lee,WSN,4,6/1/2022
