Name,GS,Team,Type
Sean Doolittle,0.0,WSN,Reliever
Charlie Culberson,0.0,TEX,Reliever
Sandy Leon,0.0,CLE,Reliever
Marwin Gonzalez,0.0,NYY,Reliever
Jay Jackson,0.0,ATL,Reliever
Ehire Adrianza,0.0,WSN,Reliever
Darin Ruf,0.0,NYM,Reliever
Randal Grichuk,0.0,COL,Reliever
Corey Dickerson,0.0,STL,Reliever
Phil Gosselin,0.0,LAA,Reliever
Parker Markel,0.0,OAK,Reliever
Jace Peterson,0.0,MIL,Reliever
Alex Claudio,0.0,NYM,Reliever
Ken Giles,0.0,SEA,Reliever
Orlando Arcia,0.0,ATL,Reliever
Ildemaro Vargas,0.0,WSN,Reliever
Austin Adams,0.0,SDP,Reliever
Kevin Plawecki,0.0,BOS,Reliever
Franmil Reyes,0.0,CHC,Reliever
Jack Mayfield,0.0,LAA,Reliever
Willians Astudillo,0.0,MIA,Reliever
Reese McGuire,0.0,BOS,Reliever
Pablo Reyes,0.0,MIL,Reliever
Ryan Castellani,0.0,OAK,Reliever
Yonny Chirinos,1.0,TBR,Reliever
J.P. Feyereisen,2.0,TBR,Reliever
Vinny Nittoli,0.0,PHI,Reliever
Jermaine Palacios,0.0,MIN,Reliever
Conner Menez,0.0,CHC,Reliever
Kyle Dowdy,0.0,CIN,Reliever
Brian Serven,0.0,COL,Reliever
Jorge Alcala,0.0,MIN,Reliever
Andrew Knizner,0.0,STL,Reliever
Sheldon Neuse,0.0,OAK,Reliever
Jordan Sheffield,0.0,COL,Reliever
Mike Brosseau,0.0,MIL,Reliever
Darick Hall,0.0,PHI,Reliever
Michel Baez,0.0,SDP,Reliever
Riley O'Brien,0.0,SEA,Reliever
Bowden Francis,0.0,TOR,Reliever
Luis Castillo,0.0,DET,Reliever
Aneurys Zabala,0.0,MIA,Reliever
Nick Duron,0.0,PHI,Reliever
Yerry Rodriguez,0.0,TEX,Reliever
Angel Rondon,0.0,STL,Reliever
Kyle Tyler,0.0,SDP,Reliever
Max Kranick,0.0,PIT,Reliever
Easton McGee,0.0,TBR,Reliever
Freddy Tarnok,0.0,ATL,Reliever
William Woods,0.0,ATL,Reliever
Cam Alldred,0.0,PIT,Reliever
Nick Mears,0.0,PIT,Reliever
Nash Walters,0.0,LAA,Reliever
Nate Fisher,0.0,NYM,Reliever
Tyler Kinley,0.0,COL,Reliever
Ryan Weber,0.0,NYY,Reliever
Hunter Brown,2.0,HOU,Reliever
Yency Almonte,0.0,LAD,Reliever
Scott Alexander,4.0,SFG,Reliever
Luis Ortiz,0.0,SFG,Reliever
Jose Cisnero,0.0,DET,Reliever
Pete Fairbanks,0.0,TBR,Reliever
Evan Phillips,0.0,LAD,Reliever
Ryne Stanek,0.0,HOU,Reliever
Fernando Cruz,2.0,CIN,Reliever
Ryan Helsley,0.0,STL,Reliever
Edwin Diaz,0.0,NYM,Reliever
Tyler Glasnow,2.0,TBR,Reliever
Matthew Boyd,0.0,SEA,Reliever
Emmanuel Clase,0.0,CLE,Reliever
Matt Gage,0.0,TOR,Reliever
Cionel Perez,0.0,BAL,Reliever
Danny Coulombe,0.0,MIN,Reliever
Ryne Nelson,3.0,ARI,Reliever
Drey Jameson,4.0,ARI,Reliever
Anthony Bass,0.0,- - -,Reliever
Jason Adam,0.0,TBR,Reliever
Marcos Diplan,0.0,BAL,Reliever
Angel Zerpa,2.0,KCR,Reliever
Erik Swanson,1.0,SEA,Reliever
Mark Appel,0.0,PHI,Reliever
Justin Verlander,28.0,HOU,Starter
Daniel Bard,0.0,COL,Reliever
Blake Treinen,0.0,LAD,Reliever
Luke Bard,0.0,- - -,Reliever
Caleb Ferguson,1.0,LAD,Reliever
Alexis Diaz,0.0,CIN,Reliever
Jhoan Duran,0.0,MIN,Reliever
Andre Jackson,0.0,LAD,Reliever
Devin Williams,0.0,MIL,Reliever
Bryan Abreu,0.0,HOU,Reliever
Matt Moore,0.0,TEX,Reliever
Brock Burke,0.0,TEX,Reliever
Ron Marinaccio,0.0,NYY,Reliever
Adam Ottavino,0.0,NYM,Reliever
A.J. Minter,0.0,ATL,Reliever
Drew Carlton,0.0,DET,Reliever
