Name,Team,Type,NewTeamoffSeason21,NewTeamDeadline22,NewTeam,OldTeam
Sean Doolittle,WSN,Reliever,No,No,No,
Charlie Culberson,TEX,Reliever,No,No,No,
Sandy Leon,CLE,Reliever,No,No,No,
Marwin Gonzalez,NYY,Reliever,No,No,No,
Jay Jackson,ATL,Reliever,No,No,No,
Ehire Adrianza,WSN,Reliever,No,No,No,
Darin Ruf,NYM,Reliever,No,No,No,
Randal Grichuk,COL,Reliever,No,No,No,
Corey Dickerson,STL,Reliever,No,No,No,
Phil Gosselin,LAA,Reliever,No,No,No,
Parker Markel,OAK,Reliever,No,No,No,
Jace Peterson,MIL,Reliever,No,No,No,
Alex Claudio,NYM,Reliever,No,No,No,
Ken Giles,SEA,Reliever,No,No,No,
Orlando Arcia,ATL,Reliever,No,No,No,
Ildemaro Vargas,WSN,Reliever,No,No,No,
Austin Adams,SDP,Reliever,No,No,No,
Kevin Plawecki,BOS,Reliever,No,No,No,
Franmil Reyes,CHC,Reliever,No,No,No,
Jack Mayfield,LAA,Reliever,No,No,No,
Willians Astudillo,MIA,Reliever,No,No,No,
Reese McGuire,BOS,Reliever,No,No,No,
Pablo Reyes,MIL,Reliever,No,No,No,
Ryan Castellani,OAK,Reliever,No,No,No,
Yonny Chirinos,TBR,Reliever,No,No,No,
J.P. Feyereisen,TBR,Reliever,No,No,No,
Vinny Nittoli,PHI,Reliever,No,No,No,
Jermaine Palacios,MIN,Reliever,No,No,No,
Conner Menez,CHC,Reliever,No,No,No,
Kyle Dowdy,CIN,Reliever,No,No,No,
Brian Serven,COL,Reliever,No,No,No,
Jorge Alcala,MIN,Reliever,No,No,No,
Andrew Knizner,STL,Reliever,No,No,No,
Sheldon Neuse,OAK,Reliever,No,No,No,
Jordan Sheffield,COL,Reliever,No,No,No,
Mike Brosseau,MIL,Reliever,No,No,No,
Darick Hall,PHI,Reliever,No,No,No,
Michel Baez,SDP,Reliever,No,No,No,
Riley O'Brien,SEA,Reliever,No,No,No,
Bowden Francis,TOR,Reliever,No,No,No,
Luis Castillo (DET),DET,Reliever,Yes,No,Yes,
Aneurys Zabala,MIA,Reliever,No,No,No,
Nick Duron,PHI,Reliever,No,No,No,
Yerry Rodriguez,TEX,Reliever,No,No,No,
Angel Rondon,STL,Reliever,No,No,No,
Kyle Tyler,SDP,Reliever,No,No,No,
Max Kranick,PIT,Reliever,No,No,No,
Easton McGee,TBR,Reliever,No,No,No,
Freddy Tarnok,ATL,Reliever,No,No,No,
William Woods,ATL,Reliever,No,No,No,
Cam Alldred,PIT,Reliever,No,No,No,
Nick Mears,PIT,Reliever,No,No,No,
Nash Walters,LAA,Reliever,No,No,No,
Nate Fisher,NYM,Reliever,No,No,No,
Tyler Kinley,COL,Reliever,No,No,No,
