Index,League,Division,Team
1,National League,East,braves
2,National League,East,marlins
3,National League,East,mets
4,National League,East,phillies
5,National League,East,nationals
6,National League,Central,cubs
7,National League,Central,reds
8,National League,Central,brewers
9,National League,Central,pirates
10,National League,Central,cardinals
11,National League,West,diamondbacks
12,National League,West,rockies
13,National League,West,dodgers
14,National League,West,padres
15,National League,West,giants
16,American League,East,orioles
17,American League,East,red sox
18,American League,East,yankees
19,American League,East,rays
20,American League,East,blue-jays
21,American League,Central,white-sox
22,American League,Central,guardians
23,American League,Central,tigers
24,American League,Central,royals
25,American League,Central,twins
26,American League,West,astros
27,American League,West,angels
28,American League,West,athletics
29,American League,West,mariners
30,American League,West,rangers
