#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR
4,Sandy Alcantara,MIA,14,9,0,32,32,228.2,8.15,1.97,0.63,.262,78.8%,53.4%,8.5%,98.0,2.28,2.92,2.99,3.29,5.7
1,Aaron Nola,PHI,11,13,0,32,32,205.0,10.32,1.27,0.83,.289,73.0%,43.6%,9.8%,92.9,3.25,2.74,2.58,2.77,6.3
48,Miles Mikolas,STL,12,13,0,33,32,202.1,6.81,1.73,1.11,.249,74.4%,45.0%,11.9%,93.6,3.29,3.89,3.87,3.80,2.8
10,Corbin Burnes,MIL,12,8,0,33,33,202.0,10.83,2.27,1.02,.259,76.8%,47.0%,14.1%,96.2,2.94,3.05,3.14,2.85,4.6
11,Framber Valdez,HOU,17,6,0,31,31,201.1,8.67,3.00,0.49,.285,75.7%,66.5%,12.5%,94.0,2.82,3.31,3.06,3.00,4.4
34,Gerrit Cole,NYY,13,8,0,33,33,200.2,11.53,2.24,1.48,.268,78.2%,42.4%,16.8%,97.8,3.50,3.31,3.47,2.78,3.3
33,Merrill Kelly,ARI,13,8,0,33,33,200.1,7.95,2.74,0.94,.269,76.3%,42.8%,10.0%,92.4,3.37,3.62,3.65,3.85,3.3
9,Shane Bieber,CLE,13,8,0,31,31,200.0,8.91,1.62,0.81,.287,75.8%,48.2%,10.4%,91.5,2.88,3.51,2.87,2.98,4.9
18,Alek Manoah,TOR,16,7,0,31,31,196.2,8.24,2.33,0.73,.244,82.6%,37.5%,7.1%,93.9,2.24,3.31,3.35,3.98,4.1
21,Martin Perez,TEX,12,8,0,32,32,196.1,7.75,3.16,0.50,.295,77.0%,51.4%,6.5%,92.9,2.89,3.59,3.27,3.80,3.8
15,Yu Darvish,SDP,16,8,0,30,30,194.2,9.11,1.71,1.02,.250,78.2%,36.9%,9.6%,95.0,3.10,3.54,3.31,3.58,4.2
16,Logan Webb,SFG,15,9,0,32,32,192.1,7.63,2.29,0.51,.293,71.8%,56.7%,8.3%,92.4,2.90,3.59,3.04,3.32,4.2
47,Adam Wainwright,STL,11,12,0,32,32,191.2,6.71,2.54,0.75,.302,75.0%,43.2%,8.1%,88.1,3.71,4.53,3.66,4.10,2.8
28,Triston McKenzie,CLE,11,11,0,31,30,191.1,8.94,2.07,1.18,.237,80.3%,32.7%,10.3%,92.7,2.96,3.54,3.59,3.77,3.6
89,Robbie Ray,SEA,12,12,0,32,32,189.0,10.10,2.95,1.52,.284,81.2%,39.2%,15.5%,93.6,3.71,3.59,4.17,3.58,1.8
65,Cal Quantrill,CLE,15,5,0,32,32,186.1,6.18,2.27,1.01,.278,76.4%,42.1%,9.6%,93.9,3.38,4.31,4.12,4.39,2.2
36,Logan Gilbert,SEA,13,6,0,32,32,185.2,8.43,2.38,0.92,.292,77.6%,36.7%,9.2%,96.1,3.20,4.11,3.46,3.78,3.2
7,Max Fried,ATL,14,7,0,30,30,185.1,8.26,1.55,0.58,.280,78.2%,51.2%,7.8%,94.0,2.48,2.85,2.70,3.09,5.0
12,Dylan Cease,CHW,14,8,0,32,32,184.0,11.10,3.82,0.78,.260,82.3%,38.8%,8.4%,96.9,2.20,2.70,3.10,3.50,4.4
14,Zac Gallen,ARI,12,4,0,31,31,184.0,9.39,2.30,0.73,.237,78.0%,46.0%,9.1%,93.9,2.54,3.17,3.05,3.32,4.3
445,Marco Gonzales,SEA,10,15,0,32,32,183.0,5.07,2.46,1.48,.277,73.7%,42.2%,12.4%,88.7,4.13,4.59,5.05,4.88,0.1
50,Chris Bassitt,NYM,15,9,0,30,30,181.2,8.27,2.43,0.94,.282,77.2%,48.8%,10.9%,93.3,3.42,3.46,3.66,3.72,2.7
121,German Marquez,COL,9,13,0,31,31,181.2,7.43,3.12,1.49,.291,68.1%,47.6%,16.9%,95.7,5.00,4.49,4.71,4.02,1.4
31,Joe Musgrove,SDP,10,7,0,30,30,181.0,9.15,2.09,1.09,.276,79.8%,44.6%,12.3%,92.9,2.93,3.27,3.59,3.47,3.5
119,Cole Irvin,OAK,9,13,0,30,30,181.0,6.36,1.79,1.24,.273,71.4%,37.7%,10.5%,90.9,3.98,4.40,4.21,4.35,1.4
43,Kyle Wright,ATL,21,5,0,30,30,180.1,8.68,2.65,0.95,.284,78.9%,55.6%,14.4%,95.1,3.19,3.89,3.58,3.30,2.9
46,Pablo Lopez,MIA,10,10,0,32,32,180.0,8.70,2.65,1.05,.283,74.2%,46.1%,12.7%,93.5,3.75,3.75,3.71,3.56,2.8
111,Nick Pivetta,BOS,10,12,0,33,33,179.2,8.77,3.66,1.35,.300,75.3%,38.5%,12.4%,93.6,4.56,4.65,4.42,4.26,1.5
116,Jordan Lyles,BAL,12,11,0,32,32,179.0,7.24,2.61,1.31,.313,73.8%,40.2%,11.4%,91.9,4.42,4.94,4.40,4.40,1.4
19,Tyler Anderson,LAD,15,5,0,30,28,178.2,6.95,1.71,0.71,.256,77.8%,40.1%,6.4%,90.7,2.57,3.10,3.31,4.11,4.0
49,Jordan Montgomery,- - -,9,6,0,32,32,178.1,7.97,1.82,1.06,.275,75.5%,47.6%,13.0%,93.1,3.48,4.00,3.61,3.43,2.7
2,Carlos Rodon,SFG,14,8,0,31,31,178.0,11.98,2.63,0.61,.293,75.1%,34.1%,6.5%,95.5,2.88,2.64,2.25,2.91,6.2
61,Jameson Taillon,NYY,14,5,0,32,32,177.1,7.66,1.62,1.32,.276,75.3%,40.1%,12.4%,94.1,3.91,4.20,3.94,3.79,2.3
3,Justin Verlander,HOU,18,4,0,28,28,175.0,9.51,1.49,0.62,.240,80.5%,37.9%,6.2%,95.1,1.75,2.66,2.49,3.23,6.1
35,Julio Urias,LAD,17,7,0,31,31,175.0,8.54,2.11,1.18,.229,86.6%,39.7%,10.8%,93.1,2.16,2.81,3.71,3.81,3.2
5,Kevin Gausman,TOR,12,10,0,31,31,174.2,10.56,1.44,0.77,.363,74.0%,39.2%,8.5%,94.9,3.35,3.34,2.38,2.76,5.7
53,Kyle Freeland,COL,9,11,0,31,31,174.2,6.75,2.73,0.98,.318,70.5%,42.0%,9.5%,90.4,4.53,5.11,4.21,4.49,2.6
110,Charlie Morton,ATL,9,6,0,31,31,172.0,10.73,3.30,1.47,.292,76.0%,39.8%,16.5%,94.9,4.34,4.11,4.26,3.61,1.5
149,Jose Berrios,TOR,12,7,0,32,32,172.0,7.80,2.35,1.52,.328,70.9%,40.3%,13.5%,94.0,5.23,5.11,4.55,4.21,1.1
84,Kyle Gibson,PHI,10,8,0,31,31,167.2,7.73,2.58,1.29,.308,67.7%,45.9%,13.9%,92.3,5.05,4.46,4.28,3.94,1.8
29,Shane McClanahan,TBR,12,8,0,28,28,166.1,10.50,2.06,1.03,.251,80.5%,50.2%,15.7%,97.0,2.54,2.79,3.00,2.60,3.5
6,Shohei Ohtani,LAA,15,9,0,28,28,166.0,11.87,2.39,0.76,.289,83.1%,41.9%,9.3%,97.4,2.33,2.68,2.40,2.65,5.6
20,Jose Quintana,- - -,6,7,0,32,32,165.2,7.44,2.55,0.43,.302,74.2%,46.4%,5.3%,91.3,2.93,3.86,2.99,3.72,4.0
